Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
135,豆瓣2019最受关注院线电影,4,复仇者联盟4：终局之战,8.50,美国, ,安东尼·罗素 / 小罗伯特·唐尼 / 克里斯·埃文斯
136,豆瓣2019最受关注院线电影,5,飞驰人生,6.90,中国大陆, ,韩寒 / 沈腾 / 黄景瑜
137,豆瓣2019最受关注院线电影,6,少年的你,8.20,中国大陆 中国香港, ,曾国祥 / 周冬雨 / 易烊千玺
138,豆瓣2019最受关注院线电影,7,调音师,8.20,印度, ,斯里兰姆·拉格万 / 阿尤斯曼·库拉纳 / 塔布
139,豆瓣2019最受关注院线电影,8,疯狂的外星人,6.40,中国大陆, ,宁浩 / 黄渤 / 沈腾
140,豆瓣2019最受关注院线电影,9,我和我的祖国,7.60,中国大陆, ,陈凯歌 / 黄渤 / 张译
141,豆瓣2019最受关注院线电影,10,何以为家,9.10,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国, ,娜丁·拉巴基 / 赞恩·阿尔·拉菲亚 / 约丹诺斯·希费罗
142, , , , , , , 
143,豆瓣2019最受关注非院线电影,1,寄生虫,8.80,韩国, ,奉俊昊 / 宋康昊 / 李善均
144,豆瓣2019最受关注非院线电影,2,小丑,8.70,美国 加拿大, ,托德·菲利普斯 / 华金·菲尼克斯 / 罗伯特·德尼罗
145,豆瓣2019最受关注非院线电影,3,谁先爱上他的,8.60,中国台湾, ,徐誉庭 / 邱泽 / 谢盈萱
146,豆瓣2019最受关注非院线电影,4,恶人传,7.80,韩国, ,李元泰 / 马东锡 / 金武烈
147,豆瓣2019最受关注非院线电影,5,疾速追杀3,7.90,美国, ,查德·斯塔赫斯基 / 基努·里维斯 / 哈莉·贝瑞
148,豆瓣2019最受关注非院线电影,6,极限职业,7.80,韩国, ,李炳宪 / 柳承龙 / 李荷妮
149,豆瓣2019最受关注非院线电影,7,好莱坞往事,7.30,美国 英国 中国大陆, ,昆汀·塔伦蒂诺 / 莱昂纳多·迪卡普里奥 / 布拉德·皮特
150,豆瓣2019最受关注非院线电影,8,极限逃生,7.50,韩国, ,李相槿 / 曹政奭 / 林允儿
151,豆瓣2019最受关注非院线电影,9,安娜,7.80,法国 美国 加拿大 俄罗斯, ,吕克·贝松 / 萨莎·露丝 / 海伦·米伦
152,豆瓣2019最受关注非院线电影,10,孟买酒店,8.40,澳大利亚 美国 印度, ,安东尼·马拉斯 / 艾米·汉莫 / 纳赞宁·波妮阿蒂
153, , , , , , , 
154,豆瓣重温・2010年代十佳影片,1,盗梦空间,9.40,美国 英国, ,克里斯托弗·诺兰 / 莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特
155,豆瓣重温・2010年代十佳影片,2,星际穿越,9.40,美国 英国 加拿大, ,克里斯托弗·诺兰 / 马修·麦康纳 / 安妮·海瑟薇
156,豆瓣重温・2010年代十佳影片,3,疯狂动物城,9.20,美国, ,拜伦·霍华德 / 金妮弗·古德温 / 杰森·贝特曼
157,豆瓣重温・2010年代十佳影片,4,触不可及,9.30,法国, ,奥利维埃·纳卡什 / 弗朗索瓦·克鲁塞 / 奥玛·希
158,豆瓣重温・2010年代十佳影片,5,寻梦环游记,9.10,美国, ,李·昂克里奇 / 安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔
159,豆瓣重温・2010年代十佳影片,6,我不是药神,9.00,中国大陆, ,文牧野 / 徐峥 / 王传君
160,豆瓣重温・2010年代十佳影片,7,怦然心动,9.10,美国, ,罗伯·莱纳 / 玛德琳·卡罗尔 / 卡兰·麦克奥利菲
161,豆瓣重温・2010年代十佳影片,8,摔跤吧！爸爸,9.00,印度, ,涅提·蒂瓦里 / 阿米尔·汗 / 法缇玛·萨那·纱卡
162,豆瓣重温・2010年代十佳影片,9,少年派的奇幻漂流,9.10,美国 中国台湾 英国 加拿大, ,李安 / 苏拉·沙玛 / 伊尔凡·可汗
163,豆瓣重温・2010年代十佳影片,10,辩护人,9.20,韩国, ,杨宇硕 / 宋康昊 / 金英爱
164, , , , , , , 
165,豆瓣2020最值得期待华语电影,1,唐人街探案3,5.30,中国大陆 中国香港 日本, ,陈思诚 / 王宝强 / 刘昊然
166,豆瓣2020最值得期待华语电影,2,姜子牙,6.60,中国大陆, ,程腾 / 郑希 / 杨凝
167,豆瓣2020最值得期待华语电影,3,夺冠,7.10,中国大陆, ,陈可辛 / 巩俐 / 黄渤
168,豆瓣2020最值得期待华语电影,4,囧妈,5.90,中国大陆, ,徐峥 / 徐峥 / 黄梅莹
169,豆瓣2020最值得期待华语电影,5,封神第一部：朝歌风云,7.80,中国大陆, ,乌尔善 / 费翔 / 李雪健
170,豆瓣2020最值得期待华语电影,6,紧急救援,5.90,中国大陆 中国香港, ,林超贤 / 彭于晏 / 王彦霖
171,豆瓣2020最值得期待华语电影,7,风林火山, ,中国香港, ,麦浚龙 / 金城武 / 梁家辉
