Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Notorious,Directed by Alfred Hitchcock,🎉133,1946,USA,[美人计 Notorious](https://movie.douban.com/subject/1300766/),🌟7.7,"导演: 阿尔弗雷德·希区柯克, 主演: 加里·格兰特 / 英格丽·褒曼 / 克劳德·雷恩斯, 类型: 剧情 / 爱情 / 惊悚, 制片国家/地区: 美国, 年份: 1946",[Notorious](https://www.imdb.com/title/tt0038787/),🌟7.9
Lawrence of Arabia,Directed by David Lean,🎉133,1962,United Kingdom,[阿拉伯的劳伦斯 Lawrence of Arabia](https://movie.douban.com/subject/1292349/),🌟8.7,"导演: 大卫·里恩, 主演: 彼得·奥图尔 / 亚历克·吉尼斯 / 安东尼·奎恩, 类型: 剧情 / 传记 / 冒险, 制片国家/地区: 英国, 年份: 1962",[Lawrence of Arabia](https://www.imdb.com/title/tt0056172/),🌟8.3
Gertrud,Directed by Carl Th. Dreyer,🎉136,1964,Denmark,[葛楚 Gertrud](https://movie.douban.com/subject/1420116/),🌟8.0,"导演: 卡尔·西奥多·德莱叶, 主演: 尼娜·彭斯·罗德 / 本特·罗斯 / 埃贝·罗德, 类型: 剧情, 制片国家/地区: 丹麦, 年份: 1964",[Gertrud](https://www.imdb.com/title/tt0058138/),🌟7.3
All That Heaven Allows,Directed by Douglas Sirk,🎉136,1955,USA,[深锁春光一院愁 All That Heaven Allows](https://movie.douban.com/subject/1303345/),🌟7.5,"导演: 道格拉斯·塞克, 主演: 简·怀曼 / 罗克·赫德森 / 阿格妮丝·摩尔海德, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1955",[All That Heaven Allows](https://www.imdb.com/title/tt0047811/),🌟7.6
Partie de campagne,Directed by Jean Renoir,🎉136,1936,France,[乡间一日 Une Partie de Campagne](https://movie.douban.com/subject/1401585/),🌟8.0,"导演: 让·雷诺阿, 主演: 西尔维娅·巴塔耶 / 雅内·马尔肯 / 安德烈·加布里埃洛, 类型: 剧情 / 短片 / 爱情, 制片国家/地区: 法国, 年份: 1946",[Children of Paradise](https://www.imdb.com/title/tt0037674/),🌟8.3
Pickpocket,Directed by Robert Bresson,🎉136,1959,France,[扒手 Pickpocket](https://movie.douban.com/subject/1303559/),🌟8.3,"导演: 罗伯特·布列松, 主演: 马丁·拉萨尔 / 玛莉卡·格林 / Jean Pélégri, 类型: 剧情 / 犯罪, 制片国家/地区: 法国, 年份: 1959",[Pickpocket](https://www.imdb.com/title/tt0053168/),🌟7.6
The Seventh Seal,Directed by Ingmar Bergman,🎉136,1957,Sweden,[第七封印 Det sjunde inseglet](https://movie.douban.com/subject/1293234/),🌟8.5,"导演: 英格玛·伯格曼, 主演: 古纳尔·布约恩施特兰德 / 本特·埃切罗特 / 尼尔斯·波普, 类型: 剧情 / 奇幻, 制片国家/地区: 瑞典, 年份: 1957",[The Seventh Seal](https://www.imdb.com/title/tt0050976/),🌟8.1
Trouble in Paradise,Directed by Ernst Lubitsch,🎉136,1932,USA,[天堂里的烦恼 Trouble in Paradise](https://movie.douban.com/subject/1294746/),🌟8.1,"导演: 恩斯特·刘别谦, 主演: 米利亚姆·霍普金斯 / 凯·弗朗西斯 / 赫伯特·马歇尔, 类型: 喜剧 / 犯罪 / 爱情, 制片国家/地区: 美国, 年份: 1932",[Trouble in Paradise](https://www.imdb.com/title/tt0023622/),🌟7.9
Sambizanga,Directed by Sarah Maldoror,🎉136,1972,"Angola, France, Congo",[桑比赞加 Sambizanga](https://movie.douban.com/subject/4729942/),🌟,"导演: 莎拉·马尔多罗, 主演: Domingos de Oliveira / Elisa Andrade / Jean M'Vondo, 类型: 剧情, 制片国家/地区: 安哥拉/法国, 年份: 1973",[Sambizanga](https://www.imdb.com/title/tt0069214/),🌟7
The Wild Bunch,Directed by Sam Peckinpah,🎉136,1969,USA,[日落黄沙 The Wild Bunch](https://movie.douban.com/subject/1296963/),🌟8.3,"导演: 萨姆·佩金帕, 主演: 威廉·霍尔登 / 欧内斯特·博格宁 / 罗伯特·瑞安, 类型: 动作 / 西部, 制片国家/地区: 美国, 年份: 1969",[The Wild Bunch](https://www.imdb.com/title/tt0065214/),🌟7.9
Les Enfants du paradis,Directed by Marcel Carné,🎉136,1945,France,[天堂的孩子 Les enfants du paradis](https://movie.douban.com/subject/1300375/),🌟8.5,"导演: 马塞尔·卡尔内, 主演: 阿莱蒂 / 让-路易斯·巴劳特 / 皮埃尔·布拉瑟, 类型: 剧情 / 爱情, 制片国家/地区: 法国, 年份: 1945",[A Day in the Country](https://www.imdb.com/title/tt0028445/),🌟7.5
La ciénaga,Directed by Lucrecia Martel,🎉136,2001,"Argentina, USA, Japan, France, Switzerland, Spain, Brazil",[沼泽 La Ciénaga](https://movie.douban.com/subject/1420225/),🌟7.9,"导演: 卢奎西亚·马特尔, 主演: 梅赛黛斯·莫朗 / 格拉谢拉·博尔赫斯 / 马丁·艾德赫米安, 类型: 剧情, 制片国家/地区: 阿根廷/法国/西班牙, 年份: 2001",[La Ciénaga](https://www.imdb.com/title/tt0240419/),🌟7
Chinatown,Directed by Roman Polanski,🎉146,1974,USA,[唐人街 Chinatown](https://movie.douban.com/subject/1293889/),🌟8.4,"导演: 罗曼·波兰斯基, 主演: 杰克·尼科尔森 / 费·唐纳薇 / 约翰·休斯顿, 类型: 犯罪 / 剧情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1974",[Chinatown](https://www.imdb.com/title/tt0071315/),🌟8.2
La Grande Illusion,Directed by Jean Renoir,🎉146,1937,France,[大幻影 La grande illusion](https://movie.douban.com/subject/1294808/),🌟8.4,"导演: 让·雷诺阿, 主演: 让·迦本 / 迪塔·帕尔洛 / 皮埃尔·弗雷奈, 类型: 剧情 / 战争, 制片国家/地区: 法国, 年份: 1937",[The Grand Illusion](https://www.imdb.com/title/tt0028950/),🌟8.1
India Song,Directed by Marguerite Duras,🎉146,1975,France,[印度之歌 India Song](https://movie.douban.com/subject/1298347/),🌟7.4,"导演: 玛格丽特·杜拉斯, 主演: 德菲因·塞里格 / 迈克尔·朗斯代尔 / 马修·加里瑞, 类型: 剧情 / 爱情, 制片国家/地区: 法国, 年份: 1975",[India Song](https://www.imdb.com/title/tt0073166/),🌟6.2
Alien,Directed by Ridley Scott,🎉146,1979,"USA, United Kingdom",[异形 Alien](https://movie.douban.com/subject/1300868/),🌟8.3,"导演: 雷德利·斯科特, 主演: 西格妮·韦弗 / 汤姆·斯凯里特 / 维罗尼卡·卡维特, 类型: 科幻 / 惊悚 / 恐怖, 制片国家/地区: 英国/美国, 年份: 1979",[Alien](https://www.imdb.com/title/tt0078748/),🌟8.5
Vampyr,Directed by Carl Th. Dreyer,🎉146,1932,"Germany, France",[吸血鬼 Vampyr](https://movie.douban.com/subject/1300749/),🌟7.8,"导演: 卡尔·西奥多·德莱叶, 主演: 朱利安·维斯特 / 莫里斯·舒茨 / 瑞纳·曼德尔, 类型: 奇幻 / 恐怖, 制片国家/地区: 德国/法国, 年份: 1932",[Vampyr](https://www.imdb.com/title/tt0023649/),🌟7.4
The Watermelon Woman,Directed by Cheryl Dunye,🎉146,1997,USA,[寻找西瓜女 The Watermelon Woman](https://movie.douban.com/subject/1304762/),🌟7.9,"导演: 谢丽尔·邓耶, 主演: 谢丽尔·邓耶 / 吉娜薇·特纳 / Valarie Walker, 类型: 喜剧 / 同性, 制片国家/地区: 美国, 年份: 1997",[The Watermelon Woman](https://www.imdb.com/title/tt0118125/),🌟7.1
Le Bonheur,Directed by Agnès Varda,🎉152,1965,France,[幸福 Le bonheur](https://movie.douban.com/subject/1483516/),🌟8.3,"导演: 阿涅斯·瓦尔达, 主演: 让-克洛德·德鲁奥 / 玛丽-弗朗斯·布瓦耶 / 马克·埃罗, 类型: 剧情 / 爱情, 制片国家/地区: 法国, 年份: 1965",[Le Bonheur](https://www.imdb.com/title/tt0058985/),🌟7.6
Meghe Dhaka Tara,Directed by Ritwik Ghatak,🎉152,1960,India,[云遮星 মেঘে ঢাকা তারা](https://movie.douban.com/subject/1460605/),🌟7.7,"导演: 李维克·伽塔克, 主演: Supriya Choudhury / 阿尼尔·查特吉 / 贾内什·慕克吉, 类型: 剧情, 制片国家/地区: 印度, 年份: 1960",[The Cloud-Capped Star](https://www.imdb.com/title/tt0054073/),🌟7.8
Days of Heaven,Directed by Terrence Malick,🎉152,1978,USA,[天堂之日 Days of Heaven](https://movie.douban.com/subject/1293232/),🌟7.9,"导演: 泰伦斯·马力克, 主演: 理查·基尔 / 布鲁克·亚当斯 / 山姆·夏普德, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1978",[Days of Heaven](https://www.imdb.com/title/tt0077405/),🌟7.8
West Indies: The Fugitive Slaves of Liberty,Directed by Med Hondo,🎉152,1979,"France, Mauritania",[西印度群岛 West Indies](https://movie.douban.com/subject/25774676/),🌟,"主演: Cyril Aventurin / 费尔南·贝尔塞 / 罗兰·伯汀, 类型: 剧情, 制片国家/地区: 法国/毛里塔尼亚/阿尔及利亚, 年份: 1979",[West Indies](https://www.imdb.com/title/tt0080125/),🌟7.2
Twin Peaks: The Return,Directed by David Lynch,🎉152,2017,USA,[双峰 第三季 Twin Peaks Season 3](https://movie.douban.com/subject/26088510/),🌟8.9,"导演: 大卫·林奇, 主演: 凯尔·麦克拉克伦 / 雪莉·李 / 金米·罗伯特森, 类型: 剧情 / 犯罪 / 悬疑, 制片国家/地区: 美国, 年份: 2017",[Twin Peaks](https://www.imdb.com/title/tt4093826/),🌟8.5
Los olvidados,Directed by Luis Buñuel,🎉157,1950,Mexico,[被遗忘的人们 Los Olvidados](https://movie.douban.com/subject/1303579/),🌟8.3,"导演: 路易斯·布努埃尔, 主演: Estela Inda / Alfonso Mejía / Roberto Cobo, 类型: 犯罪 / 剧情, 制片国家/地区: 墨西哥, 年份: 1950",[The Young and the Damned](https://www.imdb.com/title/tt0042804/),🌟8.3
Ikiru,Directed by Akira Kurosawa,🎉157,1952,Japan,[生之欲 生きる](https://movie.douban.com/subject/1293847/),🌟9.3,"导演: 黑泽明, 主演: 志村乔 / 日守新一 / 田中春男, 类型: 剧情, 制片国家/地区: 日本, 年份: 1952",[Ikiru](https://www.imdb.com/title/tt0044741/),🌟8.3
Out of the Past,Directed by Jacques Tourneur,🎉157,1947,USA,[漩涡之外 Out of the Past](https://movie.douban.com/subject/1302338/),🌟8.2,"导演: 雅克·特纳, 主演: 罗伯特·米彻姆 / 简·格里尔 / 柯克·道格拉斯, 类型: 剧情 / 黑色电影 / 惊悚, 制片国家/地区: 美国, 年份: 1947",[Out of the Past](https://www.imdb.com/title/tt0039689/),🌟8
Vivre sa vie,Directed by Jean-Luc Godard,🎉157,1962,France,[随心所欲 Vivre sa vie: Film en douze tableaux](https://movie.douban.com/subject/1296757/),🌟8.5,"导演: 让-吕克·戈达尔, 主演: 安娜·卡里娜 / 萨德·里波特 / 安德烈·S·拉巴尔特, 类型: 剧情, 制片国家/地区: 法国, 年份: 1962",[Vivre Sa Vie](https://www.imdb.com/title/tt0056663/),🌟7.8
Amarcord,Directed by Federico Fellini,🎉157,1972,"Italy, France",[阿玛柯德 Amarcord](https://movie.douban.com/subject/1298672/),🌟8.7,"导演: 费德里科·费里尼, 主演: 普佩拉·玛奇奥 / 阿尔曼多·布兰恰 / 玛加莉·诺埃尔, 类型: 剧情 / 喜剧, 制片国家/地区: 意大利/法国, 年份: 1973",[Amarcord](https://www.imdb.com/title/tt0071129/),🌟7.9
Once upon a Time in America,Directed by Sergio Leone,🎉157,1983,"USA, Italy",[美国往事 Once Upon a Time in America](https://movie.douban.com/subject/1292262/),🌟9.2,"导演: 赛尔乔·莱昂内, 主演: 罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文, 类型: 犯罪 / 剧情, 制片国家/地区: 美国/意大利, 年份: 1984",[Once Upon a Time in America](https://www.imdb.com/title/tt0087843/),🌟8.3
The Gospel According to St. Matthew,Directed by Pier Paolo Pasolini,🎉157,1964,"Italy, France",[马太福音 Il vangelo secondo Matteo](https://movie.douban.com/subject/1299775/),🌟8.4,"导演: 皮埃尔·保罗·帕索里尼, 主演: 恩里克·伊拉佐奎 / 玛格丽塔·卡鲁索 / Susanna Pasolini, 类型: 剧情 / 传记 / 历史, 制片国家/地区: 意大利/法国, 年份: 1964",[The Gospel According to St. Matthew](https://www.imdb.com/title/tt0058715/),🌟7.7
Where Is the Friend's House?,Directed by Abbas Kiarostami,🎉157,1987,Iran,[何处是我朋友的家 خانه دوست کجاست؟‎](https://movie.douban.com/subject/1301897/),🌟8.9,"导演: 阿巴斯·基亚罗斯塔米, 主演: 巴比·艾哈迈德·波 / 艾哈迈德·艾哈迈德·波 / 科达·巴和·迪范, 类型: 剧情, 制片国家/地区: 伊朗, 年份: 1987",[Where Is the Friend's House?](https://www.imdb.com/title/tt0093342/),🌟8.1
All about My Mother,Directed by Pedro Almodóvar,🎉157,1999,"Spain, France",[关于我母亲的一切 Todo sobre mi madre](https://movie.douban.com/subject/1291937/),🌟8.6,"导演: 佩德罗·阿莫多瓦, 主演: 塞西莉亚·罗特 / 玛丽萨·帕雷德斯 / 坎德拉·佩尼亚, 类型: 剧情, 制片国家/地区: 西班牙/法国, 年份: 1999",[All About My Mother](https://www.imdb.com/title/tt0185125/),🌟7.8
A City of Sadness,Directed by Hou Hsiao-Hsien,🎉157,1989,Taiwan,[悲情城市](https://movie.douban.com/subject/1294194/),🌟9.0,"导演: 侯孝贤, 主演: 梁朝伟 / 辛树芬 / 陈松勇, 类型: 剧情 / 历史, 制片国家/地区: 中国台湾, 年份: 1989",[A City of Sadness](https://www.imdb.com/title/tt0096908/),🌟7.8
Orlando,Directed by Sally Potter,🎉157,1992,"United Kingdom, Russian Federation, Italy, France, Netherlands",[奥兰多 Orlando](https://movie.douban.com/subject/1301895/),🌟8.2,"导演: 莎莉·波特, 主演: 蒂尔达·斯文顿 / 比利·赞恩 / 昆廷·克里斯普, 类型: 剧情 / 爱情 / 奇幻, 制片国家/地区: 英国/俄罗斯/法国/意大利/荷兰, 年份: 1992",[Orlando](https://www.imdb.com/title/tt0107756/),🌟7.1
West of the Tracks,Directed by Wang Bing,🎉157,2002,People's Republic of China,[铁西区第一部分：工厂](https://movie.douban.com/subject/1309215/),🌟8.6,"导演: 王兵, 类型: 纪录片, 制片国家/地区: 中国大陆, 年份: 2003",[Tie Xi Qu: West of the Tracks](https://www.imdb.com/title/tt0389448/),🌟8.2
The Magnificent Ambersons,Directed by Orson Welles,🎉169,1942,USA,[伟大的安巴逊 The Magnificent Ambersons](https://movie.douban.com/subject/1299214/),🌟7.5,"导演: 奥逊·威尔斯, 主演: 约瑟夫·科顿 / 提姆·霍尔特 / 多洛雷斯·卡斯特洛, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1942",[The Magnificent Ambersons](https://www.imdb.com/title/tt0035015/),🌟7.6
Hiroshima mon amour,Directed by Alain Resnais,🎉169,1959,"France, Japan",[广岛之恋 Hiroshima mon amour](https://movie.douban.com/subject/1302050/),🌟7.9,"导演: 阿伦·雷乃, 主演: 埃玛妞·丽娃 / 冈田英次 / 贝尔纳·弗雷松, 类型: 剧情 / 爱情 / 战争, 制片国家/地区: 法国/日本, 年份: 1959",[Hiroshima Mon Amour](https://www.imdb.com/title/tt0052893/),🌟7.9
Letter from an Unknown Woman,Directed by Max Ophuls,🎉169,1948,USA,[一封陌生女子的来信 Letter from an Unknown Woman](https://movie.douban.com/subject/1297228/),🌟8.0,"导演: 马克斯·奥菲尔斯, 主演: 琼·芳登 / 路易斯·乔丹 / 麦迪·克里斯蒂安斯, 类型: 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1948",[Letter from an Unknown Woman](https://www.imdb.com/title/tt0040536/),🌟7.9
Charulata,Directed by Satyajit Ray,🎉169,1964,India,[孤独的妻子 চারুলতা](https://movie.douban.com/subject/1468782/),🌟7.8,"导演: 萨蒂亚吉特·雷伊, 主演: 松米特拉·查特吉 / 马达比·慕克吉 / 沙伊伦·慕克吉, 类型: 剧情 / 爱情, 制片国家/地区: 印度, 年份: 1964",[Charulata](https://www.imdb.com/title/tt0057935/),🌟8.1
"The Good, the Bad and the Ugly",Directed by Sergio Leone,🎉169,1966,Italy,"[黄金三镖客 Il buono, il brutto, il cattivo](https://movie.douban.com/subject/1401118/)",🌟9.2,"导演: 赛尔乔·莱昂内, 主演: 克林特·伊斯特伍德 / 埃里·瓦拉赫 / 李·范·克里夫, 类型: 冒险 / 西部, 制片国家/地区: 意大利/西班牙/西德, 年份: 1966","[The Good, the Bad and the Ugly](https://www.imdb.com/title/tt0060196/)",🌟8.8
Red Desert,Directed by Michelangelo Antonioni,🎉169,1964,"Italy, France",[红色沙漠 Il deserto rosso](https://movie.douban.com/subject/1299261/),🌟8.0,"导演: 米开朗基罗·安东尼奥尼, 主演: 莫尼卡·维蒂 / 理查德·哈里斯 / Carlo Chionetti, 类型: 剧情, 制片国家/地区: 意大利/法国, 年份: 1964",[Red Desert](https://www.imdb.com/title/tt0058003/),🌟7.5
Black Narcissus,"Directed by Michael Powell, Emeric Pressburger",🎉169,1947,United Kingdom,[黑水仙 Black Narcissus](https://movie.douban.com/subject/1292733/),🌟7.7,"导演: 迈克尔·鲍威尔 / 埃默里克·普雷斯伯格, 主演: 黛博拉·蔻儿 / 弗劳拉·罗博森 / 简·西蒙斯, 类型: 剧情, 制片国家/地区: 英国, 年份: 1947",[Black Narcissus](https://www.imdb.com/title/tt0039192/),🌟7.7
Memories of Underdevelopment,Directed by Tomás Gutiérrez Alea,🎉169,1968,Cuba,[低度开发的回忆 Memorias del subdesarrollo](https://movie.douban.com/subject/1484154/),🌟8.1,"导演: 托马斯·古铁雷兹·阿莱, 主演: 塞吉欧·柯瑞里 / 黛西·加纳多斯 / 埃丝琳达·努涅斯, 类型: 剧情, 制片国家/地区: 古巴, 年份: 1968",[Memories of Underdevelopment](https://www.imdb.com/title/tt0063291/),🌟7.6
The Exterminating Angel,Directed by Luis Buñuel,🎉169,1962,Mexico,[泯灭天使 El ángel exterminador](https://movie.douban.com/subject/1303556/),🌟8.3,"导演: 路易斯·布努埃尔, 主演: 西尔维娅·皮纳尔 / 恩里克·兰巴尔 / 克劳迪奥·布鲁克, 类型: 喜剧 / 剧情 / 奇幻 / 悬疑, 制片国家/地区: 墨西哥, 年份: 1962",[The Exterminating Angel](https://www.imdb.com/title/tt0056732/),🌟8
Under the Skin,Directed by Jonathan Glazer,🎉169,2013,"United Kingdom, USA, Switzerland",[皮囊之下 Under the Skin](https://movie.douban.com/subject/3749974/),🌟6.3,"导演: 乔纳森·格雷泽, 主演: 斯嘉丽·约翰逊 / 杰里米·麦克威廉姆斯 / 琳西·泰勒·麦凯, 类型: 科幻 / 恐怖, 制片国家/地区: 英国/美国/瑞士, 年份: 2013",[Under the Skin](https://www.imdb.com/title/tt1441395/),🌟6.3
Heat,Directed by Michael Mann,🎉169,1995,USA,[盗火线 Heat](https://movie.douban.com/subject/1295686/),🌟8.5,"导演: 迈克尔·曼, 主演: 阿尔·帕西诺 / 罗伯特·德尼罗 / 方·基默, 类型: 剧情 / 动作 / 犯罪 / 惊悚, 制片国家/地区: 美国, 年份: 1995",[Heat](https://www.imdb.com/title/tt0113277/),🌟8.3
Symbiopsychotaxiplasm: Take One,Directed by William Greaves,🎉169,1967,USA,[共生心理分类学：第1幕 Symbiopsychotaxiplasm: Take One](https://movie.douban.com/subject/1876327/),🌟7.3,"导演: 威廉·格雷夫斯, 主演: Patricia Ree Gilbert / Don Fellows / Bob Rosen, 类型: 纪录片, 制片国家/地区: 美国, 年份: 1968",[Symbiopsychotaxiplasm: Take One](https://www.imdb.com/title/tt0296881/),🌟7.2
Out 1,Directed by Jacques Rivette,🎉169,1990,France,"[出局：禁止接触 Out 1, noli me tangere](https://movie.douban.com/subject/1477852/)",🌟8.3,"导演: 雅克·里维特 / 苏珊·席夫曼, 主演: 让-皮埃尔·利奥德 / 迈克尔·朗斯代尔 / 朱丽叶·贝尔托, 类型: 喜剧 / 剧情 / 惊悚, 制片国家/地区: 法国, 年份: 1971",[Out 1](https://www.imdb.com/title/tt0246135/),🌟7.5
Un chien andalou,Directed by Luis Buñuel,🎉169,1928,France,[一条安达鲁狗 Un chien andalou](https://movie.douban.com/subject/1298962/),🌟8.2,"导演: 路易斯·布努埃尔, 主演: 西蒙妮·玛勒伊 / Pierre Batcheff / 路易斯·布努埃尔, 类型: 短片 / 奇幻, 制片国家/地区: 法国, 年份: 1929",[An Andalusian Dog](https://www.imdb.com/title/tt0020530/),🌟7.6
L'Argent,Directed by Robert Bresson,🎉169,1983,"France, Switzerland",[钱 L'argent](https://movie.douban.com/subject/1303536/),🌟8.3,"导演: 罗伯特·布列松, 主演: 克里斯蒂安·佩蒂 / Vincent Risterucci / Caroline Lang, 类型: 剧情 / 犯罪, 制片国家/地区: 法国/瑞士, 年份: 1983",[L'Argent](https://www.imdb.com/title/tt0085180/),🌟7.4
Last Year at Marienbad,Directed by Alain Resnais,🎉169,1961,"France, Italy",[去年在马里昂巴德 L'année dernière à Marienbad](https://movie.douban.com/subject/1400240/),🌟8.3,"导演: 阿伦·雷乃, 主演: 德菲因·塞里格 / 乔治·阿尔贝塔齐 / 萨夏·皮托埃夫, 类型: 剧情 / 爱情 / 悬疑, 制片国家/地区: 法国/意大利, 年份: 1961",[Last Year at Marienbad](https://www.imdb.com/title/tt0054632/),🌟7.7
"Paris, Texas",Directed by Wim Wenders,🎉185,1984,"Federal Republic of Germany, France, United Kingdom","[德州巴黎 Paris, Texas](https://movie.douban.com/subject/1302061/)",🌟8.5,"导演: 维姆·文德斯, 主演: 哈利·戴恩·斯坦通 / 萨姆·贝瑞 / 伯恩哈德·维基, 类型: 剧情, 制片国家/地区: 西德/法国/英国/美国, 年份: 1984","[Paris, Texas](https://www.imdb.com/title/tt0087884/)",🌟8.1
