Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Region 地区
豆瓣2015最受关注的|电影,5,奔跑吧！兄弟,[26274910](https://movie.douban.com/subject/26274910/),3.6,胡笳 / 杨颖 / 王宝强,中国大陆
 , , , , , , 
豆瓣2015最受关注的|电影,1,狼图腾,[3993588](https://movie.douban.com/subject/3993588/),6.9,让-雅克·阿诺 / 冯绍峰 / 窦骁,中国大陆 法国
豆瓣2015最受关注的|电影,2,超能陆战队 / Big Hero 6,[11026735](https://movie.douban.com/subject/11026735/),8.7,唐·霍尔 / 斯科特·安第斯 / 瑞恩·波特,美国
豆瓣2015最受关注的|电影,3,有一个地方只有我们知道,[25858759](https://movie.douban.com/subject/25858759/),4.9,徐静蕾 / 王丽坤 / 徐静蕾,中国大陆
豆瓣2015最受关注的|电影,4,饥饿游戏3：嘲笑鸟(上) / The Hunger Games: Mockingjay - Part 1,[6533054](https://movie.douban.com/subject/6533054/),6.3,弗朗西斯·劳伦斯 / 詹妮弗·劳伦斯 / 乔什·哈切森,美国
豆瓣2015最受关注的|电影,5,澳门风云2 / 賭城風雲II,[25858785](https://movie.douban.com/subject/25858785/),5.6,王晶 / 周润发 / 张家辉,中国香港 中国大陆
 , , , , , , 
豆瓣2015最受关注的|电影,1,王牌特工：特工学院 / Kingsman: The Secret Service,[24405378](https://movie.douban.com/subject/24405378/),8.4,马修·沃恩 / 塔伦·埃哲顿 / 科林·费尔斯,英国 美国
豆瓣2015最受关注的|电影,2,灰姑娘 / Cinderella,[6875263](https://movie.douban.com/subject/6875263/),7.0,肯尼思·布拉纳 / 莉莉·詹姆斯 / 理查德·麦登,美国 英国
豆瓣2015最受关注的|电影,3,穹顶之下,[26334244](https://movie.douban.com/subject/26334244/),9.0,范铭 / 柴静,中国大陆
豆瓣2015最受关注的|电影,4,五十度灰 / Fifty Shades of Grey,[24840488](https://movie.douban.com/subject/24840488/),5.6,萨姆·泰勒·约翰逊 / 詹米·多南 / 达科塔·约翰逊,美国
豆瓣2015最受关注的|电影,5,帕丁顿熊 / Paddington,[2998373](https://movie.douban.com/subject/2998373/),7.8,保罗·金 / 本·卫肖 / 妮可·基德曼,英国 法国
 , , , , , , 
豆瓣2015最受关注的|电影,1,速度与激情7 / Furious 7,[23761370](https://movie.douban.com/subject/23761370/),8.4,温子仁 / 范·迪塞尔 / 保罗·沃克,美国 中国大陆 日本
豆瓣2015最受关注的|电影,2,战狼,[24753810](https://movie.douban.com/subject/24753810/),7.0,吴京 / 吴京 / 余男,中国大陆
