Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区
76,77,77、《鸳鸯歌合战》（牧野雅弘，1939）,鸳鸯歌合战 鴛鴦歌合戦,1939,[1845786](https://movie.douban.com/subject/1845786/),7.9,牧野雅弘,喜剧 / 歌舞,日本
77,77,77、《安城家的舞会》（吉村公三郎，1947）,安城家的舞会 安城家の舞踏会,1947,[1479544](https://movie.douban.com/subject/1479544/),7.9,吉村公三郎,剧情 / 家庭,日本
78,77,77、《少年》（大岛渚，1969）,少年,1969,[1305020](https://movie.douban.com/subject/1305020/),8.0,大岛渚,剧情,日本
79,80,80、《蜘蛛巢城》（黑泽明，1975）,蜘蛛巢城 蜘蛛巣城,1957,[1294827](https://movie.douban.com/subject/1294827/),8.5,黑泽明,剧情 / 历史,日本
80,80,80、《1000年刻纹的日晷，牧野村物语》（小川绅介，1987）,牧野村 千年物语 1000年刻みの日時計 牧野村物語,1987,[2268963](https://movie.douban.com/subject/2268963/),9.0,小川绅介,纪录片 / 剧情,日本
81,80,80、《仁义的墓场》（深作欣二，1975）,仁义的墓场 仁義の墓場,1975,[1959212](https://movie.douban.com/subject/1959212/),7.7,深作欣二,动作 / 犯罪,日本
82,80,80、《杀戮的烙印》（铃木清顺，1967）,杀手烙印 殺しの烙印,1967,[1401331](https://movie.douban.com/subject/1401331/),7.3,铃木清顺,剧情 / 动作 / 犯罪 / 惊悚,日本
83,80,80、《秋刀鱼之味》（小津安二郎，1962）,秋刀鱼之味 秋刀魚の味,1962,[1294433](https://movie.douban.com/subject/1294433/),8.7,小津安二郎,剧情 / 家庭,日本
84,80,80、《十三人之刺客》（工藤荣一，1963）,十三刺客 十三人の刺客,1963,[2012333](https://movie.douban.com/subject/2012333/),7.6,工藤荣一,冒险 / 动作,日本
85,86,86、《矶之源太，带剑而眠》（山中贞雄，1932）,抱剑而眠 磯の源太　抱寝の長脇差,1932,[3113252](https://movie.douban.com/subject/3113252/), ,山中贞雄,剧情 / 动作,日本
86,86,86、《山打根8号娼馆，望乡》（熊井启，1974）,望乡 サンダカン八番娼館 望郷,1974,[1303073](https://movie.douban.com/subject/1303073/),8.8,熊井启,剧情 / 历史 / 战争,日本
