Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Genre 类型
豆瓣2014年度最受关注的2010s电影,6,少年派的奇幻漂流,[1929463](https://movie.douban.com/subject/1929463/),9.1,导演：李安,类型：剧情 奇幻 冒险
豆瓣2014年度最受关注的2010s电影,7,让子弹飞,[3742360](https://movie.douban.com/subject/3742360/),9.0,导演：姜文,类型：剧情 喜剧 动作 西部
豆瓣2014年度最受关注的2010s电影,8,疯狂原始人,[1907966](https://movie.douban.com/subject/1907966/),8.7,导演：柯克·德·米科 克里斯·桑德斯,类型：喜剧 动画 冒险
豆瓣2014年度最受关注的2010s电影,9,那些年，我们一起追的女孩,[4920528](https://movie.douban.com/subject/4920528/),8.1,导演：九把刀,类型：剧情 喜剧 爱情
豆瓣2014年度最受关注的2010s电影,10,触不可及,[6786002](https://movie.douban.com/subject/6786002/),9.3,导演：奥利维埃·纳卡什 埃里克·托莱达诺,类型：剧情 喜剧
 , , , , , , 
豆瓣2014年度最受关注的2000s电影,1,三傻大闹宝莱坞,[3793023](https://movie.douban.com/subject/3793023/),9.2,导演：拉吉库马尔·希拉尼,类型：剧情 喜剧 爱情 歌舞
豆瓣2014年度最受关注的2000s电影,2,千与千寻,[1291561](https://movie.douban.com/subject/1291561/),9.4,导演：宫崎骏,类型：剧情 动画 奇幻
豆瓣2014年度最受关注的2000s电影,3,忠犬八公的故事,[3011091](https://movie.douban.com/subject/3011091/),9.4,导演：拉斯·霍尔斯道姆,类型：剧情
豆瓣2014年度最受关注的2000s电影,4,当幸福来敲门,[1849031](https://movie.douban.com/subject/1849031/),9.2,导演：加布里埃莱·穆奇诺,类型：剧情 传记 家庭
豆瓣2014年度最受关注的2000s电影,5,V字仇杀队,[1309046](https://movie.douban.com/subject/1309046/),8.9,导演：詹姆斯·麦克特格,类型：剧情 动作 科幻 惊悚
豆瓣2014年度最受关注的2000s电影,6,放牛班的春天,[1291549](https://movie.douban.com/subject/1291549/),9.3,导演：克里斯托夫·巴哈蒂,类型：剧情 音乐
