Index,Y2024 排名,豆瓣,IMDb,TSPDT-ID,Title 电影,Director 导演,Year 年份,Region 地区,Genre 类型,Length 片长,Colour 色彩
807,808,[受难记 Passion-让-吕克·戈达尔](https://movie.douban.com/subject/1293027/),[https://www.imdb.com/title/tt0084481/](https://www.imdb.com/title/https://www.imdb.com/title/tt0084481//),14076,Passion,Jean-Luc Godard,1982,France-Switzerland,Drama,87,Col
808,809,[收播新闻 Broadcast News-詹姆斯·L·布鲁克斯](https://movie.douban.com/subject/1292511/),[https://www.imdb.com/title/tt0092699/](https://www.imdb.com/title/https://www.imdb.com/title/tt0092699//),15405,Broadcast News,James L. Brooks,1987,USA,Romance-Comedy-Drama,133,Col
809,810,[鬼玩人2 Evil Dead II-山姆·雷米](https://movie.douban.com/subject/1293448/),[https://www.imdb.com/title/tt0092991/](https://www.imdb.com/title/https://www.imdb.com/title/tt0092991//),15455,Evil Dead II,Sam Raimi,1987,USA,Horror-Comedy,84,Col
810,811,[三峡好人-贾樟柯](https://movie.douban.com/subject/1872133/),[https://www.imdb.com/title/tt0859765/](https://www.imdb.com/title/https://www.imdb.com/title/tt0859765//),24985,Still Life,Jia Zhangke,2006,China-Hong Kong,Drama,113,Col
811,812,[亚伯拉罕山谷 Vale Abraão-曼努埃尔·德·奥利维拉](https://movie.douban.com/subject/1303467/),[https://www.imdb.com/title/tt0108471/](https://www.imdb.com/title/https://www.imdb.com/title/tt0108471//),19707,Abraham's Valley,Manoel de Oliveira,1993,Portugal-France-Switzerland,Drama,187,Col
812,813,[红胡子 赤ひげ-黑泽明](https://movie.douban.com/subject/1296679/),[https://www.imdb.com/title/tt0058888/](https://www.imdb.com/title/https://www.imdb.com/title/tt0058888//),9524,Red Beard,Akira Kurosawa,1965,Japan,Drama,185,BW
813,814,[狗脸的岁月 Mitt liv som hund-拉斯·霍尔斯道姆](https://movie.douban.com/subject/1291976/),[https://www.imdb.com/title/tt0089606/](https://www.imdb.com/title/https://www.imdb.com/title/tt0089606//),14925,My Life as a Dog,Lasse Hallström,1985,Sweden,Drama-Comedy,101,Col
814,815,"[崩溃边缘的女人 Mujeres al borde de un ataque de ""nervios""-佩德罗·阿莫多瓦](https://movie.douban.com/subject/1300952/)",[https://www.imdb.com/title/tt0095675/](https://www.imdb.com/title/https://www.imdb.com/title/tt0095675//),16060,Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,1988,Spain,Comedy-Drama,88,Col
815,816,[恐怖走廊 Shock Corridor-塞缪尔·富勒](https://movie.douban.com/subject/1298471/),[https://www.imdb.com/title/tt0057495/](https://www.imdb.com/title/https://www.imdb.com/title/tt0057495//),9061,Shock Corridor,Samuel Fuller,1963,USA,Drama-Mystery,101,BW
816,817,[近松物语 近松物語-沟口健二](https://movie.douban.com/subject/1303600/),[https://www.imdb.com/title/tt0046851/](https://www.imdb.com/title/https://www.imdb.com/title/tt0046851//),6020,Chikamatsu monogatari,Kenji Mizoguchi,1954,Japan,Drama-Romance,100,BW
817,818,[梵高 Van Gogh-莫里斯·皮亚拉](https://movie.douban.com/subject/1418998/),[https://www.imdb.com/title/tt0103190/](https://www.imdb.com/title/https://www.imdb.com/title/tt0103190//),18362,Van Gogh,Maurice Pialat,1991,France,Drama-Biography,158,Col
818,819,[幸运儿 O Lucky Man!-林赛·安德森](https://movie.douban.com/subject/1296105/),[https://www.imdb.com/title/tt0070464/](https://www.imdb.com/title/https://www.imdb.com/title/tt0070464//),11778,O Lucky Man!,Lindsay Anderson,1973,UK-USA,Drama-Comedy-Fantasy,178,Col
819,820,[巴黎一妇人 A Woman of Paris: A Drama of Fate-查理·卓别林](https://movie.douban.com/subject/1296988/),[https://www.imdb.com/title/tt0014624/](https://www.imdb.com/title/https://www.imdb.com/title/tt0014624//),1764,"Woman of Paris, A",Charles Chaplin,1923,USA,Drama-Romance,78,BW
820,821,"[消防员舞会 Horí, má panenko-米洛斯·福尔曼](https://movie.douban.com/subject/1303080/)",[https://www.imdb.com/title/tt0061781/](https://www.imdb.com/title/https://www.imdb.com/title/tt0061781//),10257,"Firemen's Ball, The",Milos Forman,1967,Czechoslovakia-Italy,Comedy-Drama,73,Col
821,822,[黄巾骑兵队 She Wore a Yellow Ribbon-约翰·福特](https://movie.douban.com/subject/1293312/),[https://www.imdb.com/title/tt0041866/](https://www.imdb.com/title/https://www.imdb.com/title/tt0041866//),4573,She Wore a Yellow Ribbon,John Ford,1949,USA,Western-War,103,Col
822,823,[迷失之地 Losing Ground-凯瑟琳·柯林斯](https://movie.douban.com/subject/5050316/),[https://www.imdb.com/title/tt0084269/](https://www.imdb.com/title/https://www.imdb.com/title/tt0084269//),14042,Losing Ground,Kathleen Collins,1982,USA,Comedy-Drama,86,Col
823,824,[电车狂 どですかでん-黑泽明](https://movie.douban.com/subject/1303077/),[https://www.imdb.com/title/tt0065649/](https://www.imdb.com/title/https://www.imdb.com/title/tt0065649//),10792,Dodes'ka-den,Akira Kurosawa,1970,Japan,Fantasy-Drama,140,Col
824,825,[赤线地带 赤線地帯-沟口健二](https://movie.douban.com/subject/1466788/),[https://www.imdb.com/title/tt0048933/](https://www.imdb.com/title/https://www.imdb.com/title/tt0048933//),6892,Street of Shame,Kenji Mizoguchi,1956,Japan,Drama,87,BW
825,826,[剪刀手爱德华 Edward Scissorhands-蒂姆·波顿](https://movie.douban.com/subject/1292370/),[https://www.imdb.com/title/tt0099487/](https://www.imdb.com/title/https://www.imdb.com/title/tt0099487//),16472,Edward Scissorhands,Tim Burton,1990,USA,Romance-Fantasy,105,Col
826,827,[巴格达妙贼 The Thief of Bagdad-路德维希·贝格尔 / 迈克尔·鲍威尔 / 蒂姆·威伦](https://movie.douban.com/subject/1293444/),[https://www.imdb.com/title/tt0033152/](https://www.imdb.com/title/https://www.imdb.com/title/tt0033152//),2351,"Thief of Bagdad, The",Michael/Ludwig Berger/Tim Whelan Powell,1940,UK-USA,Fantasy-Family-Adventure,106,Col
827,828,[小飞象 Dumbo-宾·沙普斯坦 / 塞缪尔·阿姆斯特朗 / 诺曼·弗格森 / 威尔弗雷德·杰克逊 / 杰克·金尼 / 比尔·罗伯茨 / John Elliotte](https://movie.douban.com/subject/1304603/),[https://www.imdb.com/title/tt0033563/](https://www.imdb.com/title/https://www.imdb.com/title/tt0033563//),2447,Dumbo,Ben Sharpsteen,1941,USA,Animated-Adventure-Family,64,Col
828,829,[小妈妈 Petite maman-瑟琳·席安玛](https://movie.douban.com/subject/35225859/),[https://www.imdb.com/title/tt13204490/](https://www.imdb.com/title/https://www.imdb.com/title/tt13204490//),48733,Petite Maman,Céline Sciamma,2021,France,Drama-Fantasy,73,Col
829,830,[早春 Deep End-杰兹·斯科利莫夫斯基](https://movie.douban.com/subject/1300644/),[https://www.imdb.com/title/tt0066122/](https://www.imdb.com/title/https://www.imdb.com/title/tt0066122//),10787,Deep End,Jerzy Skolimowski,1970,UK-West Germany,Drama-Comedy-Romance,88,Col
830,831,[夏夜的微笑 Sommarnattens leende-英格玛·伯格曼](https://movie.douban.com/subject/1298494/),[https://www.imdb.com/title/tt0048641/](https://www.imdb.com/title/https://www.imdb.com/title/tt0048641//),6531,Smiles of a Summer Night,Ingmar Bergman,1955,Sweden,Romance-Comedy,108,BW
831,832,[南方 El sur-维克多·艾里斯](https://movie.douban.com/subject/1477717/),[https://www.imdb.com/title/tt0084740/](https://www.imdb.com/title/https://www.imdb.com/title/tt0084740//),25158,"Sur, El",Victor Erice,1983,Spain-France,Drama,95,Col
832,833,[蔷薇的葬礼 薔薇の葬列-松本俊夫](https://movie.douban.com/subject/1449471/),[https://www.imdb.com/title/tt0064068/](https://www.imdb.com/title/https://www.imdb.com/title/tt0064068//),33244,Funeral Parade of Roses,Toshio Matsumoto,1969,Japan,Drama,105,BW
833,834,[奇异小子 Gummo-哈莫尼·科林](https://movie.douban.com/subject/1302614/),[https://www.imdb.com/title/tt0119237/](https://www.imdb.com/title/https://www.imdb.com/title/tt0119237//),18883,Gummo,Harmony Korine,1997,USA,Drama,88,Col
834,835,[裸岛 裸の島-新藤兼人](https://movie.douban.com/subject/1303710/),[https://www.imdb.com/title/tt0056049/](https://www.imdb.com/title/https://www.imdb.com/title/tt0056049//),22491,"Naked Island, The",Kaneto Shindo,1960,Japan,Drama,96,BW
