Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,地区
89,86,《俄罗斯方舟》（2002，亚历山大·索科诺夫 Aleksandr Sokurov）,[俄罗斯方舟 Русский ковчег](https://movie.douban.com/subject/1302279/),2002,7.5,亚历山大·索科洛夫,谢尔盖·德雷登 / Mariya Kuznetsova / 瓦莱里·捷杰耶夫,剧情 / 奇幻 / 历史,俄罗斯/德国/日本/加拿大/芬兰/丹麦
90,86,《党同伐异》（1916，D·W·格里菲斯 D.W. Griffith）,[党同伐异 Intolerance: Love's Struggle Throughout the Ages](https://movie.douban.com/subject/1295287/),1916,8.7,大卫·格里菲斯,丽莲·吉许 / 梅·马什 / 罗伯特·哈伦,剧情 / 历史 / 爱情,美国
91,86,《劳拉·蒙特斯》（1955，马克斯·奥菲尔斯 Max Ophüls）,[劳拉·蒙特斯 Lola Montès](https://movie.douban.com/subject/1293401/),1955,7.8,马克斯·奥菲尔斯,玛蒂妮·卡洛 / 彼得·乌斯蒂诺夫 / 安东·沃尔布鲁克,传记 / 剧情 / 爱情,法国/西德
92,86,《十诫》（1989，克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski）,[十诫 Dekalog](https://movie.douban.com/subject/1301252/),1989,9.2,克日什托夫·基耶斯洛夫斯基,阿图尔·巴奇斯 / 昂里克·巴兰诺斯基 / 胡契克·卡勒塔,剧情,波兰/西德
93,86,《卡萨布兰卡》（1942，迈克尔·柯蒂斯 Michael Curtiz）,[卡萨布兰卡 Casablanca](https://movie.douban.com/subject/1296753/),1942,8.7,迈克尔·柯蒂兹,亨弗莱·鲍嘉 / 英格丽·褒曼 / 保罗·亨雷德,剧情 / 爱情 / 战争,美国
94,86,《卧虎藏龙》（2000，李安 Ang Lee）,[卧虎藏龙 臥虎藏龍](https://movie.douban.com/subject/1301168/),2000,8.4,李安,周润发 / 杨紫琼 / 章子怡,剧情 / 爱情 / 武侠,中国台湾/中国香港/美国/中国大陆
95,86,《双虎屠龙》（1962，约翰·福特 John Ford）,[双虎屠龙 The Man Who Shot Liberty Valance](https://movie.douban.com/subject/1295134/),1962,8.2,约翰·福特,约翰·韦恩 / 詹姆斯·斯图尔特 / 维拉·迈尔斯,剧情 / 爱情 / 西部,美国
96,86,《天堂可以等待》（1943，恩斯特·刘别谦 Ernst Lubitsch）,[天堂可以等待 Heaven Can Wait](https://movie.douban.com/subject/1293608/),1943,7.9,恩斯特·刘别谦,吉恩·蒂尔尼 / 唐·阿米契 / 查尔斯·科本,喜剧 / 剧情 / 奇幻 / 爱情,美国
97,86,《妖夜慌踪》（1997，大卫·林奇 David Lynch）,[妖夜慌踪 Lost Highway](https://movie.douban.com/subject/1303459/),1997,8.1,大卫·林奇,比尔·普尔曼 / 帕特丽夏·阿奎特 / 巴萨扎·盖提,悬疑 / 惊悚,法国/美国
98,86,《安妮·霍尔》（1977，伍迪·艾伦 Woody Allen）,[安妮·霍尔 Annie Hall](https://movie.douban.com/subject/1296987/),1977,8.6,伍迪·艾伦,伍迪·艾伦 / 黛安·基顿 / 托尼·罗伯茨,喜剧 / 剧情 / 爱情,美国
