Index,年度十佳,排名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,制片国家/地区
467,1966年,7,[路易十四的崛起 La prise de pouvoir par Louis XIV](https://movie.douban.com/subject/1303546/),1966,7.1, 罗伯托·罗西里尼, Jean-Marie Patte / Raymond Jourdan / Silvagni, 传记 / 历史, 法国
468,1966年,8,[冲破铁幕 Torn Curtain](https://movie.douban.com/subject/1301236/),1966,6.8, 阿尔弗雷德·希区柯克, 保罗·纽曼 / 朱莉·安德鲁斯 / 丽拉·柯卓娃, 惊悚, 美国
469,1966年,9,[龙虎大飞车 Red Line 7000](https://movie.douban.com/subject/1303548/),1965, , 霍华德·霍克斯, 詹姆斯·肯恩 / 劳拉·德文 / Gail Hire, 动作 / 剧情 / 运动, 美国
470,1966年,10,[口袋里的拳头 I pugni in tasca](https://movie.douban.com/subject/1401620/),1965,7.7, 马可·贝洛基奥, 洛乌·卡斯特尔 / 宝拉·皮塔格拉 / 马里诺·梅瑟, 剧情, 意大利
471,1965年,1,[狂人皮埃罗 Pierrot le fou](https://movie.douban.com/subject/1292533/),1965.0,8.4, 让-吕克·戈达尔, 让-保罗·贝尔蒙多 / 安娜·卡里娜 / 贾泽拉·加瓦尼, 剧情 / 爱情 / 犯罪, 法国/意大利
472,1965年,2,[北斗七星 Vaghe stelle dell'Orsa...](https://movie.douban.com/subject/1303547/),1965.0,7.5, 卢基诺·维斯康蒂, 克劳迪娅·卡汀娜 / 让·索雷尔 / 迈克尔·克雷格, 剧情 / 悬疑, 意大利/法国
473,1965年,3,[冬日之光 Nattvardsgästerna](https://movie.douban.com/subject/1296792/),1963.0,8.3, 英格玛·伯格曼, 古纳尔·布约恩施特兰德 / 马克斯·冯·叙多夫 / 英格丽·图林, 剧情, 瑞典
474,1965年,4,[六大导演看巴黎 Paris vu par...](https://movie.douban.com/subject/1293557/),1965.0,8.1, 克洛德·夏布洛尔 / 让·杜歇 / 让-吕克·戈达尔 / 让·丹尼尔·波莱 / 埃里克·侯麦 / 让·鲁什, 让-皮埃尔·安德烈尼 / 斯特凡·奥德朗 / Nadine Ballot, 喜剧 / 剧情, 法国
475,1965年,5,"[阿尔法城 Alphaville, une étrange aventure de Lemmy Caution](https://movie.douban.com/subject/1316524/)",1965.0,7.8, 让-吕克·戈达尔, 埃迪·康斯坦丁 / 安娜·卡里娜 / 阿基姆·坦米罗夫, 剧情 / 科幻 / 悬疑, 法国/意大利
476,1965年,6,[莉莉斯 Lilith](https://movie.douban.com/subject/1889971/),1964.0,7.9, 罗伯特·罗森, 沃伦·比蒂 / 珍·茜宝 / 彼得·方达, 剧情, 美国
477,1965年,7,[恐怖走廊 Shock Corridor](https://movie.douban.com/subject/1298471/),1963.0,7.7, 塞缪尔·富勒, 彼得·布瑞克 / 康斯坦丝·陶尔斯 / 吉恩·埃文斯, 剧情 / 悬疑, 美国
478,1965年,8,[家庭珠宝 The Family Jewels](https://movie.douban.com/subject/1958458/),1965.0,6.6, 杰瑞·刘易斯, 杰瑞·刘易斯 / 塞巴斯蒂安·卡伯特 / 尼尔·哈弥尔顿, 喜剧, 美国
479,1965年,9,[马太福音 Il vangelo secondo Matteo](https://movie.douban.com/subject/1299775/),1964.0,8.4, 皮埃尔·保罗·帕索里尼, 恩里克·伊拉佐奎 / 玛格丽塔·卡鲁索 / Susanna Pasolini, 剧情 / 传记 / 历史, 意大利/法国
480,1965年,10,[幸福 Le bonheur](https://movie.douban.com/subject/1483516/),1965.0,8.3, 阿涅斯·瓦尔达, 让-克洛德·德鲁奥 / 玛丽-弗朗斯·布瓦耶 / 马克·埃罗, 剧情 / 爱情, 法国
481,1964年,1,[法外之徒 Bande à part](https://movie.douban.com/subject/1401588/),1964.0,8.6, 让-吕克·戈达尔, 安娜·卡里娜 / 达妮埃尔·吉拉尔 / 路易莎·科尔佩恩, 犯罪 / 剧情, 法国
482,1964年,2,[葛楚 Gertrud](https://movie.douban.com/subject/1420116/),1964.0,8.1, 卡尔·西奥多·德莱叶, 尼娜·彭斯·罗德 / 本特·罗斯 / 埃贝·罗德, 剧情, 丹麦
483,1964年,3,[艳贼 Marnie](https://movie.douban.com/subject/1298442/),1964.0,7.3, 阿尔弗雷德·希区柯克, 蒂比·海德莉 / 马丁·加贝尔 / 肖恩·康纳利, 剧情 / 爱情 / 悬疑, 美国
484,1964年,4,[已婚女人 Une femme mariée](https://movie.douban.com/subject/1303550/),1964.0,7.5, 让-吕克·戈达尔, 玛莎·梅赫勒 / 贝尔纳·诺埃尔 / 菲利普·勒鲁瓦, 剧情, 法国
485,1964年,5,[湖畔春晓 Man's Favorite Sport?](https://movie.douban.com/subject/1303551/),1964.0,7.2, 霍华德·霍克斯, 罗克·赫德森 / 宝拉·普林蒂丝 / 玛利亚·珀丝齐, 喜剧 / 爱情, 美国
486,1964年,6,[红色沙漠 Il deserto rosso](https://movie.douban.com/subject/1299261/),1964.0,8.0, 米开朗基罗·安东尼奥尼, 莫妮卡·维蒂 / 理查德·哈里斯 / Carlo Chionetti, 剧情, 意大利/法国
487,1964年,7,"[美国，美国 America, America](https://movie.douban.com/subject/1469159/)",1963.0,8.3, 伊利亚·卡赞, 斯塔西斯·加埃里斯 / 弗兰克·沃尔夫 / 埃莱娜·卡拉姆, 剧情, 美国
488,1964年,8,[沉默 Tystnaden](https://movie.douban.com/subject/1300958/),1963.0,8.3, 英格玛·伯格曼, 英格丽·图林 / 古内尔·林德布洛姆 / 约根·林德斯特伦, 剧情, 瑞典
489,1964年,9,[这些女人 För att inte tala om alla dessa kvinnor](https://movie.douban.com/subject/1303552/),1964.0,6.7, 英格玛·伯格曼, 毕比·安德松 / 哈里特·安德森 / 伊娃·达尔贝克, 喜剧, 瑞典
490,1964年,10,[仆人 The Servant](https://movie.douban.com/subject/1303553/),1963.0,8.2, 约瑟夫·罗西, 德克·博加德 / 莎拉·米尔斯 / 温蒂·克雷格, 剧情, 英国
491,1963年,1,[蔑视 Le mépris](https://movie.douban.com/subject/1303555/),1963.0,7.7, 让-吕克·戈达尔, 碧姬·芭铎 / 米歇尔·皮科利 / 杰克·帕兰斯, 剧情 / 爱情, 法国/意大利
492,1963年,2,[群鸟 The Birds](https://movie.douban.com/subject/1310175/),1963.0,8.1, 阿尔弗雷德·希区柯克, 罗德·泰勒 / 杰西卡·坦迪 / 苏珊娜·普莱舍特, 悬疑 / 惊悚 / 灾难, 美国
493,1963年,3,[泯灭天使 El ángel exterminador](https://movie.douban.com/subject/1303556/),1962.0,8.3, 路易斯·布努埃尔, 西尔维娅·皮纳尔 / 恩里克·兰巴尔 / 克劳迪奥·布鲁克, 喜剧 / 剧情 / 奇幻 / 悬疑, 墨西哥
494,1963年,4,[再见菲律宾 Adieu Philippine](https://movie.douban.com/subject/1481105/),1962.0,7.7, 雅克·罗齐耶, Jean-Claude Aimini / Daniel Descamps / Stefania Sabatini, 剧情 / 爱情, 法国/意大利
495,1963年,5,[圣女贞德的审判 Procès de Jeanne d'Arc](https://movie.douban.com/subject/1303549/),1962.0,7.9, 罗伯特·布列松, 弗洛朗丝·德莱 / 让-克洛德·富尔诺 / Roger Honorat, 剧情 / 传记 / 历史, 法国
496,1963年,6,[莫里埃尔 Muriel ou Le temps d'un retour](https://movie.douban.com/subject/1293844/),1963.0,7.7, 阿伦·雷乃, 德菲因·塞里格 / 让-皮埃尔·凯里安 / 妮特·克莱因, 剧情, 法国/意大利
497,1963年,7,[疯狂教授 The Nutty Professor](https://movie.douban.com/subject/1295944/),1963.0,6.7, 杰瑞·刘易斯, 杰瑞·刘易斯 / 斯黛拉·斯蒂文斯 / 德尔穆尔, 喜剧 / 科幻, 美国
498,1963年,8,[卡宾枪手 Les carabiniers](https://movie.douban.com/subject/1401580/),1963.0,7.4, 让-吕克·戈达尔, 马里诺·梅瑟 / Patrice Moullet / Geneviève Galéa, 喜剧 / 剧情 / 战争, 法国/意大利
499,1963年,9,[龙头之死 Salvatore Giuliano](https://movie.douban.com/subject/1401612/),1962.0,7.6, 弗朗西斯科·罗西, 萨尔沃·兰多纳 / 弗兰克·沃尔夫, 犯罪 / 剧情 / 历史 / 悬疑 / 战争, 意大利
500,1963年,10,[八部半 8½](https://movie.douban.com/subject/1361276/),1963.0,8.6, 费德里科·费里尼, 马塞洛·马斯楚安尼 / 克劳迪娅·卡汀娜 / 阿努克·艾梅, 剧情, 意大利/法国
501,1962年,1,[随心所欲 Vivre sa vie: Film en douze tableaux](https://movie.douban.com/subject/1296757/),1962.0,8.5, 让-吕克·戈达尔, 安娜·卡里娜 / 萨德·里波特 / 安德烈·S·拉巴尔特, 剧情, 法国
502,1962年,2,[祖与占 Jules et Jim](https://movie.douban.com/subject/1292338/),1962.0,8.4, 弗朗索瓦·特吕弗, 让娜·莫罗 / 奥斯卡·威内尔 / 亨利·赛尔, 剧情 / 爱情, 法国
503,1962年,3,[哈泰利 Hatari!](https://movie.douban.com/subject/1293484/),1962.0,7.8, 霍华德·霍克斯, 约翰·韦恩 / 哈迪·克鲁格 / 爱尔莎·玛蒂妮利, 动作 / 冒险 / 剧情 / 爱情, 美国
504,1962年,4,[维莉蒂安娜 Viridiana](https://movie.douban.com/subject/1303557/),1961.0,8.6, 路易斯·布努埃尔, 西尔维娅·皮纳尔 / 弗朗西斯科·拉瓦尔 / 费尔南多·雷伊, 剧情, 西班牙/墨西哥
505,1962年,5,[狮子星座 Le signe du lion](https://movie.douban.com/subject/1385500/),1962.0,7.5, 埃里克·侯麦, 杰斯·哈恩 / 米歇尔·吉拉尔顿 / 范都德, 剧情, 法国
506,1962年,6,[狂澜春醒 Wild River](https://movie.douban.com/subject/1958453/),1960.0,7.3, 伊利亚·卡赞, 蒙哥马利·克利夫特 / 丽·莱米克 / 乔·范·弗利特, 剧情 / 爱情, 美国
507,1962年,7,[审判 Le procès](https://movie.douban.com/subject/1303554/),1962.0,8.6, 奥逊·威尔斯, 安东尼·博金斯 / 阿诺尔多·弗阿 / 杰斯·哈恩, 剧情 / 悬疑 / 惊悚, 法国/意大利/西德
508,1962年,8,[犹在镜中 Såsom i en spegel](https://movie.douban.com/subject/1302488/),1961.0,8.4, 英格玛·伯格曼, 哈里特·安德森 / 古纳尔·布约恩施特兰德 / 马克斯·冯·叙多夫, 剧情, 瑞典
509,1962年,9,[逃兵 Le Caporal épinglé](https://movie.douban.com/subject/1466136/),1962.0,8.1, 让·雷诺阿, 让-皮埃尔·卡塞尔 / 克洛德·布拉瑟 / 克洛德·里什, 喜剧 / 剧情, 法国
510,1962年,10,[瓦尼娜·瓦尼尼 Vanina Vanini](https://movie.douban.com/subject/1958454/),1961.0, , 罗伯托·罗西里尼, 桑德拉·米洛 / 洛朗·特兹弗 / 玛蒂妮·卡洛, 剧情, 意大利/法国
511,1961年,1,[萝拉 Lola](https://movie.douban.com/subject/1471815/),1961.0,7.9, 雅克·德米, 阿努克·艾梅 / Marc Michel / 雅克·阿尔当, 剧情 / 爱情, 法国/意大利
512,1961年,2,[女人就是女人 Une femme est une femme](https://movie.douban.com/subject/1293849/),1961.0,8.1, 让-吕克·戈达尔, 让-克洛德·布里亚利 / 安娜·卡里娜 / 让-保罗·贝尔蒙多, 喜剧 / 剧情 / 歌舞 / 爱情, 法国/意大利
513,1961年,3,[巴黎属于我们 Paris nous appartient](https://movie.douban.com/subject/1477853/),1961.0,7.2, 雅克·里维特, 贝蒂·施奈德 / 贾尼·埃斯波西托 / 弗朗索瓦丝·普雷沃斯特, 悬疑, 法国
514,1961年,4,[洛可兄弟 Rocco e i suoi fratelli](https://movie.douban.com/subject/1303558/),1960.0,8.4, 卢基诺·维斯康蒂, 阿兰·德龙 / 雷纳托·萨尔瓦托雷 / 安妮·吉拉尔多, 犯罪 / 剧情, 法国/意大利
515,1961年,5,[新平家物语 新·平家物語](https://movie.douban.com/subject/1303565/),1955.0,7.3, 沟口健二, 市川雷藏 / 林成年 / 石黑达也, 剧情, 日本
516,1961年,6,[哭泣的马 Дорогой ценой](https://movie.douban.com/subject/1958451/),1968.0, , Mark Donskoy, Vera Donskaya / Yuri Dedovich / Ivan Tverdokhleb, 剧情, 苏联
517,1961年,7,[夜 La notte](https://movie.douban.com/subject/1361252/),1961.0,8.8, 米开朗基罗·安东尼奥尼, 马塞洛·马斯楚安尼 / 让娜·莫罗 / 莫妮卡·维蒂, 剧情 / 爱情, 意大利/法国
518,1961年,8,[去年在马里昂巴德 L'année dernière à Marienbad](https://movie.douban.com/subject/1400240/),1961.0,8.3, 阿伦·雷乃, 德菲因·塞里格 / 乔治·阿尔贝塔齐 / 萨夏·皮托埃夫, 剧情 / 爱情 / 悬疑, 法国/意大利
519,1961年,9,[孽海痴魂 Elmer Gantry](https://movie.douban.com/subject/1293813/),1960.0,7.7, 理查德·布鲁克斯, 伯特·兰卡斯特 / 简·西蒙斯 / 阿瑟·肯尼迪, 剧情, 美国
520,1961年,10,[马上双雄 Two Rode Together](https://movie.douban.com/subject/1299660/),1961.0,6.8, 约翰·福特, 詹姆斯·斯图尔特 / 理查德·威德马克 / 雪莉·琼斯, 西部, 美国
521,1960年,1,[山椒大夫](https://movie.douban.com/subject/1303573/),1954.0,8.1, 沟口健二, 田中绢代 / 香川京子 / 菅井一郎, 剧情, 日本
522,1960年,2,[奇遇 L'avventura](https://movie.douban.com/subject/1389923/),1960.0,8.2, 米开朗基罗·安东尼奥尼, 加布里埃尔·费泽蒂 / 莫妮卡·维蒂 / 蕾雅·马萨利, 剧情 / 悬疑, 意大利/法国
523,1960年,3,[精疲力尽 À bout de souffle](https://movie.douban.com/subject/1353745/),1960.0,8.4, 让-吕克·戈达尔, 珍·茜宝 / 让-保罗·贝尔蒙多 / 达尼埃尔·布朗热, 剧情 / 爱情 / 犯罪, 法国
524,1960年,4,[射杀钢琴师 Tirez sur le pianiste](https://movie.douban.com/subject/1298095/),1960.0,7.8, 弗朗索瓦·特吕弗, 查尔·阿兹纳弗 / 玛丽·杜布瓦 / 妮科尔·贝尔热, 剧情 / 惊悚 / 爱情 / 犯罪, 法国
525,1960年,5,[海洋之诗 Поэма о море](https://movie.douban.com/subject/1958443/),1958.0,7.6, 尤丽娅·索恩采娃, 鲍里斯·安德烈耶夫 / Yevgeni Bondarenko / Yevgeni Gurov, 剧情, 苏联
526,1960年,6,[好女人们 Les bonnes femmes](https://movie.douban.com/subject/1424605/),1960.0,7.7, 克洛德·夏布洛尔, 贝纳德特·拉封 / 克洛蒂尔德·若阿诺 / 斯特凡·奥德朗, 剧情 / 悬疑 / 爱情, 法国
527,1960年,6,[纳萨林 Nazarín](https://movie.douban.com/subject/1303560/),1959.0,7.6, 路易斯·布努埃尔, 弗朗西斯科·拉瓦尔 / 玛格·洛佩兹 / 丽塔·马塞多, 剧情, 墨西哥
528,1960年,8,[慕理小镇 Moonfleet](https://movie.douban.com/subject/1303568/),1955.0,6.5, 弗里茨·朗, 斯图尔特·格兰杰 / 乔治·桑德斯 / 琼·格林伍德, 冒险 / 剧情, 美国
529,1960年,9,[惊魂记 Psycho](https://movie.douban.com/subject/1293181/),1960.0,9.0, 阿尔弗雷德·希区柯克, 安东尼·博金斯 / 维拉·迈尔斯 / 约翰·加文, 悬疑 / 惊悚 / 恐怖, 美国
530,1960年,10,[洞 Le trou](https://movie.douban.com/subject/1424334/),1960.0,9.2, 雅克·贝克, 马克·米歇尔 / 吉恩·凯乐蒂 / 菲利普·勒鲁瓦, 犯罪 / 剧情 / 惊悚, 法国/意大利
531,1959年,1,[雨月物语 雨月物語](https://movie.douban.com/subject/1303577/),1953.0,8.6, 沟口健二, 田中绢代 / 森雅之 / 小泽荣太郎, 剧情 / 战争 / 奇幻, 日本
532,1959年,2,[广岛之恋 Hiroshima mon amour](https://movie.douban.com/subject/1302050/),1959.0,7.9, 阿伦·雷乃, 埃玛妞·丽娃 / 冈田英次 / 贝尔纳·弗雷松, 剧情 / 爱情 / 战争, 法国/日本
533,1959年,3,[伊凡雷帝 Иван Грозный](https://movie.douban.com/subject/1298182/),1944.0,8.0,谢尔盖·爱森斯坦,尼古拉·切尔卡索夫 / Lyudmila Tselikovskaya / Serafima Birman / 米哈伊尔·纳兹瓦诺夫 / 米哈伊尔·扎罗夫 / Amvrosi Buchma / 米哈伊尔·库兹涅佐夫 / 帕维尔·卡道奇尼科夫 / 安德烈·阿布里科索夫 / Maksim Mikhajlov / 弗拉基米尔·巴拉瑟夫 / 弗谢沃罗德·普多夫金 / 谢苗·铁木辛哥 / Aleksandr Rumnyov,传记 / 历史,苏联
534,1959年,3,[伊凡雷帝2 Иван Грозный 2: Боярский заговор](https://movie.douban.com/subject/1474367/),1958.0,8.2, 谢尔盖·爱森斯坦, 尼古拉·切尔卡索夫 / 帕维尔·卡道奇尼科夫 / 弗谢沃罗德·普多夫金, 传记 / 历史, 苏联
535,1959年,4,[扒手 Pickpocket](https://movie.douban.com/subject/1303559/),1959.0,8.3, 罗伯特·布列松, 马丁·拉萨尔 / 玛莉卡·格林 / Jean Pélégri, 剧情 / 犯罪, 法国
536,1959年,5,[四百击 Les quatre cents coups](https://movie.douban.com/subject/1300056/),1959.0,8.9, 弗朗索瓦·特吕弗, 让-皮埃尔·利奥德 / 克莱尔·莫里耶 / 阿尔贝·雷米, 犯罪 / 剧情, 法国
537,1959年,6,[赤胆屠龙 Rio Bravo](https://movie.douban.com/subject/1298497/),1959.0,8.1, 霍华德·霍克斯, 约翰·韦恩 / 迪恩·马丁 / 瑞奇·尼尔森, 剧情 / 喜剧 / 爱情 / 西部, 美国
538,1959年,7,[野草莓 Smultronstället](https://movie.douban.com/subject/1293071/),1957.0,8.8, 英格玛·伯格曼, 维克多·斯约斯特洛姆 / 毕比·安德松 / 英格丽·图林, 剧情 / 爱情 / 家庭, 瑞典
539,1959年,8,[迷魂记 Vertigo](https://movie.douban.com/subject/1297294/),1958.0,8.7, 阿尔弗雷德·希区柯克, 詹姆斯·斯图尔特 / 金·诺瓦克 / 芭芭拉·贝尔·戈迪斯, 爱情 / 悬疑 / 惊悚, 美国
540,1959年,9,[杨贵妃 楊貴妃](https://movie.douban.com/subject/1303564/),1955.0,6.2, 沟口健二, 京町子 / 森雅之 / 山村聪, 剧情 / 历史 / 爱情, 中国香港/日本
541,1959年,10,[孟加拉虎 Der Tiger von Eschnapur](https://movie.douban.com/subject/1441365/),1959.0,7.1, 弗里茨·朗, 黛博拉·佩吉特 / 保罗·霍布施米特 / 沃尔特·雷耶尔, 冒险 / 剧情 / 爱情 / 惊悚, 西德/法国/意大利
542,1958年,1,[历劫佳人 Touch of Evil](https://movie.douban.com/subject/1294756/),1958.0,8.1, 奥逊·威尔斯, 查尔顿·赫斯顿 / 珍妮特·利 / 奥逊·威尔斯, 犯罪 / 黑色电影 / 惊悚, 美国
543,1958年,2,[第七封印 Det sjunde inseglet](https://movie.douban.com/subject/1293234/),1957.0,8.5, 英格玛·伯格曼, 古纳尔·布约恩施特兰德 / 本特·埃切罗特 / 尼尔斯·波普, 剧情 / 奇幻, 瑞典
544,1958年,3,[白夜 Le notti bianche](https://movie.douban.com/subject/1303561/),1957.0,8.1, 卢基诺·维斯康蒂, 玛丽亚·雪儿 / 马塞洛·马斯楚安尼 / 让·马莱, 剧情 / 爱情, 意大利/法国
545,1958年,4,[呐喊 Il grido](https://movie.douban.com/subject/1293428/),1957.0,8.1, 米开朗基罗·安东尼奥尼, 史蒂夫·柯臣 / 阿莉达·瓦利 / 多里安·格雷, 剧情, 意大利/美国
546,1958年,5,[你好，忧愁 Bonjour tristesse](https://movie.douban.com/subject/1884837/),1958.0,7.1, 奥托·普雷明格, 黛博拉·蔻儿 / 大卫·尼文 / 珍·茜宝, 剧情, 美国/英国
547,1958年,6,[花都绮梦 Kvinnodröm](https://movie.douban.com/subject/1302075/),1955.0,7.6, 英格玛·伯格曼, 伊娃·达尔贝克 / 哈里特·安德森 / 古纳尔·布约恩施特兰德, 剧情, 瑞典
548,1958年,7,[她的一生 Une Vie](https://movie.douban.com/subject/1958436/),1958.0,7.6, 亚历山大·阿斯楚克, 玛丽亚·雪儿 / 克里斯蒂安·马康 / 帕斯卡尔·普缇, 剧情, 意大利/法国
549,1958年,8,[我的舅舅 Mon Oncle](https://movie.douban.com/subject/1400829/),1958.0,8.6, 雅克·塔蒂, 让·皮埃尔·佐拉 / Adrienne Servantie / Lucien Frégis, 喜剧, 意大利/法国
550,1958年,9,[安静的美国人 The Quiet American](https://movie.douban.com/subject/1958437/),1958.0,7.6, 约瑟夫·L·曼凯维奇, 奥迪·墨菲 / 迈克尔·雷德格瑞夫 / 克洛德·多芬, 剧情 / 爱情 / 惊悚 / 战争, 美国
551,1958年,10,[夏日插曲 Sommarlek](https://movie.douban.com/subject/1295389/),1951.0,7.7, 英格玛·伯格曼, 玛伊-布里特·尼尔松 / 比耶·马尔姆斯滕 / 阿尔夫·切森, 剧情 / 爱情, 瑞典
552,1957年,1,[纽约之王 A King in New York](https://movie.douban.com/subject/1293781/),1957.0,7.9, 查理·卓别林, 查理·卓别林 / 玛克辛·奥德丽 / 杰瑞·戴斯默德, 喜剧 / 剧情, 英国/美国
553,1957年,2,[成功之道 Will Success Spoil Rock Hunter?](https://movie.douban.com/subject/1844184/),1957.0,7.5, 弗兰克·塔许林, 简·曼斯费尔德 / 托尼·兰德尔 / 贝特西·德雷克, 喜剧, 美国
554,1957年,3,[卡比利亚之夜 Le notti di Cabiria](https://movie.douban.com/subject/1294781/),1957.0,9.1, 费德里科·费里尼, 朱丽叶塔·马西纳 / 弗朗索瓦·佩里埃 / 弗兰卡·马尔齐, 剧情, 意大利/法国
555,1957年,4,[伸冤记 The Wrong Man](https://movie.douban.com/subject/1301234/),1956.0,7.5, 阿尔弗雷德·希区柯克, 亨利·方达 / 维拉·迈尔斯 / 安东尼·奎尔, 犯罪 / 剧情 / 黑色电影, 美国
556,1957年,5,[犯罪生涯 Ensayo de un crimen](https://movie.douban.com/subject/1437408/),1955.0,7.8, 路易斯·布努埃尔, 米洛丝拉娃 / 埃内斯托·阿隆索 / 丽塔·马塞多, 喜剧 / 犯罪 / 剧情, 墨西哥
557,1957年,6,[小丑之夜 Gycklarnas afton](https://movie.douban.com/subject/1300957/),1953.0,8.0, 英格玛·伯格曼, 奥克·格伦贝里 / 哈里特·安德森 / 哈塞·埃克曼, 剧情, 瑞典
558,1957年,7,[高于生活 Bigger Than Life](https://movie.douban.com/subject/1855271/),1956.0,7.6, 尼古拉斯·雷, 詹姆斯·梅森 / 芭芭拉·拉什 / 沃尔特·马修, 剧情, 美国
559,1957年,8,[春风得意 The Girl Can't Help It](https://movie.douban.com/subject/1844182/),1956.0,7.3, 弗兰克·塔许林, 汤姆·伊威尔 / 简·曼斯费尔德 / 艾德蒙·奥布莱恩, 喜剧 / 音乐, 美国
560,1957年,9,[高度怀疑 Beyond A Reasonable Doubt](https://movie.douban.com/subject/1958434/),1956.0,7.3, 弗里茨·朗, 达纳·安德鲁斯 / 琼·芳登 / 西德尼·布莱克默, 犯罪 / 黑色电影 / 剧情, 美国
561,1957年,10,[十二怒汉 12 Angry Men](https://movie.douban.com/subject/1293182/),1957.0,9.4, 西德尼·吕美特, 亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒, 剧情, 美国
562,1956年,1,[死囚越狱 Un Condamné à mort s'est échappé](https://movie.douban.com/subject/1303562/),1956.0,8.5, 罗伯特·布列松, 弗朗索瓦·莱特瑞尔 / 查尔斯·勒克莱恩 / 莫里斯·贝尔布洛克, 剧情 / 战争 / 惊悚, 法国
563,1956年,2,[艾琳娜和她的男人们 Elena et les hommes](https://movie.douban.com/subject/1303563/),1956.0,6.5, 让·雷诺阿, 英格丽·褒曼 / 梅尔·费勒 / 让·马莱, 喜剧 / 剧情 / 爱情, 法国/意大利
564,1956年,3,[无因的反叛 Rebel Without a Cause](https://movie.douban.com/subject/1295416/),1955.0,8.0, 尼古拉斯·雷, 詹姆斯·迪恩 / 娜塔莉·伍德 / 萨尔·米涅奥, 剧情, 美国
565,1956年,4,[阿卡丁先生 Mr. Arkadin](https://movie.douban.com/subject/1303567/),1955.0,7.8, 奥逊·威尔斯, 奥逊·威尔斯 / 迈克尔·雷德格瑞夫 / 帕特丽夏·梅迪纳, 剧情 / 犯罪 / 黑色电影, 法国/西班牙/瑞士
566,1956年,5,[战国妖姬 Senso](https://movie.douban.com/subject/1303572/),1954.0,7.3, 卢基诺·维斯康蒂, 法利·格兰杰 / 阿莉达·瓦利 / 马西莫·吉洛蒂, 剧情 / 历史 / 爱情 / 战争, 意大利
567,1956年,6,[夏夜的微笑 Sommarnattens leende](https://movie.douban.com/subject/1298494/),1955.0,7.7, 英格玛·伯格曼, 厄拉·亚科布松 / 伊娃·达尔贝克 / 哈里特·安德森, 喜剧 / 爱情, 瑞典
568,1956年,7,[骗子 Il bidone](https://movie.douban.com/subject/1303571/),1955.0,8.1, 费德里科·费里尼, 布罗德里克·克劳福德 / 朱丽叶塔·马西纳 / 理查德·贝斯哈特, 剧情 / 喜剧, 意大利/法国
569,1956年,8,[爱情 L'amore](https://movie.douban.com/subject/1763626/),1948.0,7.4, 罗伯托·罗西里尼, 安娜·马尼亚尼 / 费德里科·费里尼 / 佩帕罗洛, 剧情, 意大利
570,1956年,9,[野餐 Picnic](https://movie.douban.com/subject/1298015/),1955.0,7.0, 乔舒亚·洛根, 威廉·霍尔登 / 金·诺瓦克 / 贝蒂·菲尔德, 剧情 / 爱情, 美国
571,1956年,10,[不安 Non credo più all'amore (La paura)](https://movie.douban.com/subject/1303574/),1954.0,7.0, 罗伯托·罗西里尼, 英格丽·褒曼 / 马蒂亚斯·维曼 / 雷娜特·曼哈特, 剧情, 西德/意大利
572,1955年,1,[游览意大利 Viaggio in Italia](https://movie.douban.com/subject/1303576/),1954.0,7.8, 罗伯托·罗西里尼, 英格丽·褒曼 / 乔治·桑德斯 / Leslie Daniels, 剧情, 法国/意大利
573,1955年,2,[词语 Ordet](https://movie.douban.com/subject/1303566/),1955.0,8.3, 卡尔·西奥多·德莱叶, Hanne Agesen / Kirsten Andreasen / Sylvia Eckhausen, 剧情, 丹麦
574,1955年,3,[大刀 The Big Knife](https://movie.douban.com/subject/1303570/),1955.0,7.2, 罗伯特·奥尔德里奇, 杰克·帕兰斯 / 艾达·卢皮诺 / 温戴尔·柯瑞, 剧情 / 黑色电影, 美国
575,1955年,4,[劳拉·蒙特斯 Lola Montès](https://movie.douban.com/subject/1293401/),1955.0,7.8, 马克斯·奥菲尔斯, 玛蒂妮·卡洛 / 彼得·乌斯蒂诺夫 / 安东·沃尔布鲁克, 传记 / 剧情 / 爱情, 法国/西德
576,1955年,5,[后窗 Rear Window](https://movie.douban.com/subject/1299080/),1954.0,8.7, 阿尔弗雷德·希区柯克, 詹姆斯·斯图尔特 / 格蕾丝·凯利 / 温戴尔·柯瑞, 悬疑 / 惊悚, 美国
577,1955年,6,[糟糕的相遇 Les mauvaises rencontres](https://movie.douban.com/subject/1958429/),1955.0, , 亚历山大·阿斯楚克, 让-克洛德·帕斯卡 / 阿努克·艾梅 / Gaby Sylvia, 剧情, 法国
578,1955年,7,[大路 La strada](https://movie.douban.com/subject/1292719/),1954.0,8.9, 费德里科·费里尼, 安东尼·奎恩 / 朱丽叶塔·马西纳 / 理查德·贝斯哈特, 剧情, 意大利
579,1955年,8,[赤足天使 The Barefoot Contessa](https://movie.douban.com/subject/1303303/),1954.0,7.3, 约瑟夫·L·曼凯维奇, 亨弗莱·鲍嘉 / 艾娃·加德纳 / 艾德蒙·奥布莱恩, 剧情 / 犯罪 / 悬疑 / 爱情, 意大利/美国
