Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
123,豆瓣2017评分最高的喜剧片,3,一条狗的使命,7.70,美国, ,拉斯·霍尔斯道姆 / 乔什·加德 / 布丽特·罗伯森
124,豆瓣2017评分最高的喜剧片,4,三个老枪手,7.80,美国, ,扎克·布拉夫 / 迈克尔·凯恩 / 摩根·弗里曼
125,豆瓣2017评分最高的喜剧片,5,大病,7.50,美国, ,迈克尔·肖沃特 / 库梅尔·南贾尼 / 佐伊·卡赞
126,豆瓣2017评分最高的喜剧片,6,酒会,7.30,英国, ,莎莉·波特 / 基里安·墨菲 / 艾米莉·莫迪默
127,豆瓣2017评分最高的喜剧片,7,羞羞的铁拳,6.80,中国大陆, ,宋阳 / 艾伦 / 马丽
128,豆瓣2017评分最高的喜剧片,8,王牌保镖,7.20,美国 中国香港 保加利亚 荷兰 加拿大 英国 法国, ,帕特里克·休斯 / 瑞安·雷诺兹 / 塞缪尔·杰克逊
129,豆瓣2017评分最高的喜剧片,9,一路顺风,7.70,中国台湾, ,钟孟宏 / 许冠文 / 纳豆
130,豆瓣2017评分最高的喜剧片,10,神偷联盟,7.00,美国, ,史蒂文·索德伯格 / 查宁·塔图姆 / 丹尼尔·克雷格
131, , , , , , , 
132,豆瓣2017评分最高的爱情片,1,请以你的名字呼唤我,8.80,意大利 法国 巴西 美国, ,卢卡·瓜达尼诺 / 艾米·汉莫 / 提莫西·查拉梅
133,豆瓣2017评分最高的爱情片,2,爱乐之城,8.40,美国, ,达米恩·查泽雷 / 瑞恩·高斯林 / 艾玛·斯通
134,豆瓣2017评分最高的爱情片,3,弗兰兹,8.40,法国 德国, ,弗朗索瓦·欧容 / 皮埃尔·尼内 / 葆拉·贝尔
135,豆瓣2017评分最高的爱情片,4,恋爱谈,7.80,韩国, ,李贤珠 / 李相喜 / 柳善英
136,豆瓣2017评分最高的爱情片,5,大病,7.50,美国, ,迈克尔·肖沃特 / 库梅尔·南贾尼 / 佐伊·卡赞
137,豆瓣2017评分最高的爱情片,6,明日的我与昨日的你约会,7.70,日本, ,三木孝浩 / 福士苍汰 / 小松菜奈
138,豆瓣2017评分最高的爱情片,7,鬼魅浮生,7.60,美国, ,大卫·洛维 / 卡西·阿弗莱克 / 鲁妮·玛拉
139,豆瓣2017评分最高的爱情片,8,恋爱诊疗中,7.60,泰国, ,纳瓦彭·坦荣瓜塔纳利 / 桑尼·苏瓦美塔农 / 黛薇卡·霍内
140,豆瓣2017评分最高的爱情片,9,流浪巴黎,7.70,法国 比利时, ,多米尼克·阿贝尔 / 菲奥娜·戈登 / 多米尼克·阿贝尔
141,豆瓣2017评分最高的爱情片,10,春娇救志明,7.00,中国香港 中国大陆, ,彭浩翔 / 余文乐 / 杨千嬅
142, , , , , , , 
143,豆瓣2017评分最高的科幻/动作片,1,银翼杀手2049,8.30,美国 英国 加拿大 西班牙, ,丹尼斯·维伦纽瓦 / 瑞恩·高斯林 / 哈里森·福特
144,豆瓣2017评分最高的科幻/动作片,2,金刚狼3：殊死一战,8.30,美国, ,詹姆斯·曼高德 / 休·杰克曼 / 帕特里克·斯图尔特
145,豆瓣2017评分最高的科幻/动作片,3,银河护卫队2,8.00,美国, ,詹姆斯·古恩 / 克里斯·帕拉特 / 佐伊·索尔达娜
146,豆瓣2017评分最高的科幻/动作片,4,降临,7.80,美国 加拿大, ,丹尼斯·维伦纽瓦 / 艾米·亚当斯 / 杰瑞米·雷纳
147,豆瓣2017评分最高的科幻/动作片,5,雷神3：诸神黄昏,7.40,美国, ,塔伊加·维迪提 / 克里斯·海姆斯沃斯 / 汤姆·希德勒斯顿
148,豆瓣2017评分最高的科幻/动作片,6,蜘蛛侠：英雄归来,7.30,美国, ,乔·沃茨 / 汤姆·赫兰德 / 小罗伯特·唐尼
149,豆瓣2017评分最高的科幻/动作片,7,异形：契约,7.40,美国, ,雷德利·斯科特 / 迈克尔·法斯宾德 / 凯瑟琳·沃特斯顿
150,豆瓣2017评分最高的科幻/动作片,8,疾速追杀2,7.80,美国 中国香港, ,查德·斯塔赫斯基 / 基努·里维斯 / 里卡尔多·斯卡马奇奥
151,豆瓣2017评分最高的科幻/动作片,9,神奇女侠,7.10,美国 中国大陆 中国香港, ,派蒂·杰金斯 / 盖尔·加朵 / 克里斯·派恩
152,豆瓣2017评分最高的科幻/动作片,10,极盗车神,7.00,英国 美国, ,埃德加·赖特 / 安塞尔·艾尔高特 / 凯文·史派西
153, , , , , , , 
154,豆瓣2017评分最高的恐怖片,1,逃出绝命镇,7.80,美国, ,乔丹·皮尔 / 丹尼尔·卡卢亚 / 艾莉森·威廉姆斯
155,豆瓣2017评分最高的恐怖片,2,小丑回魂,7.50,美国 加拿大, ,安德斯·穆斯切蒂 / 比尔·斯卡斯加德 / 杰登·马泰尔
156,豆瓣2017评分最高的恐怖片,3,异形：契约,7.40,美国, ,雷德利·斯科特 / 迈克尔·法斯宾德 / 凯瑟琳·沃特斯顿
157,豆瓣2017评分最高的恐怖片,4,忌日快乐,7.00,美国, ,克里斯托弗·兰登 / 杰西卡·罗德 / 伊瑟尔·布罗萨德
158,豆瓣2017评分最高的恐怖片,5,生吃,7.10,法国 意大利 比利时, ,朱利亚·迪库诺 / 加朗斯·马里利埃 / 艾拉·朗夫
159,豆瓣2017评分最高的恐怖片,6,救命解药,7.10,美国 德国, ,戈尔·维宾斯基 / 戴恩·德哈恩 / 詹森·艾萨克
160,豆瓣2017评分最高的恐怖片,7,天赐之女,6.90,英国 美国, ,柯尔姆·麦卡锡 / 杰玛·阿特登 / 格伦·克洛斯
161,豆瓣2017评分最高的恐怖片,8,辣手保姆,6.70,美国, ,约瑟夫·麦克金提·尼彻 / 犹大·刘易斯 / 萨玛拉·维文
162,豆瓣2017评分最高的恐怖片,9,莱姆豪斯的杀人魔,6.60,英国, ,胡安·卡洛斯·梅迪纳 / 奥利维亚·库克 / 比尔·奈伊
163,豆瓣2017评分最高的恐怖片,10,报告老师！怪怪怪怪物！,6.70,中国台湾, ,九把刀 / 邓育凯 / 蔡凡熙
164, , , , , , , 
165,豆瓣2017评分最高的惊悚/犯罪片,1,看不见的客人,8.80,西班牙, ,奥里奥尔·保罗 / 马里奥·卡萨斯 / 阿娜·瓦格纳
166,豆瓣2017评分最高的惊悚/犯罪片,2,天才枪手,8.20,泰国, ,纳塔吾·彭皮里亚 / 茱蒂蒙·琼查容苏因 / 查侬·散顶腾古
167,豆瓣2017评分最高的惊悚/犯罪片,3,目击者之追凶,8.20,中国台湾, ,程伟豪 / 庄凯勋 / 许玮甯
168,豆瓣2017评分最高的惊悚/犯罪片,4,恐袭波士顿,8.00,美国, ,彼得·博格 / 马克·沃尔伯格 / 凯文·贝肯
169,豆瓣2017评分最高的惊悚/犯罪片,5,猎凶风河谷,7.80,英国 加拿大 美国, ,泰勒·谢里丹 / 杰瑞米·雷纳 / 伊丽莎白·奥尔森
170,豆瓣2017评分最高的惊悚/犯罪片,6,愚行录,7.80,日本, ,石川庆 / 妻夫木聪 / 满岛光
171,豆瓣2017评分最高的惊悚/犯罪片,7,疾速追杀2,7.80,美国 中国香港, ,查德·斯塔赫斯基 / 基努·里维斯 / 里卡尔多·斯卡马奇奥
172,豆瓣2017评分最高的惊悚/犯罪片,8,杀人者的记忆法,7.80,韩国, ,元新渊 / 薛景求 / 金南佶
173,豆瓣2017评分最高的惊悚/犯罪片,9,隧道尽头,7.00,西班牙 阿根廷, ,罗德里戈·格兰德 / 莱昂纳多·斯巴拉格利亚 / 巴勃罗·埃查里
174,豆瓣2017评分最高的惊悚/犯罪片,10,分裂,7.40,美国, ,M·奈特·沙马兰 / 詹姆斯·麦卡沃伊 / 安雅·泰勒-乔伊
175, , , , , , , 
176,豆瓣2017评分最高的动画片,1,寻梦环游记,9.10,美国, ,李·昂克里奇 / 安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔
177,豆瓣2017评分最高的动画片,2,至爱梵高·星空之谜,8.50,英国 波兰, ,多洛塔·科别拉 / 道格拉斯·布斯 / 罗伯特·古拉奇克
178,豆瓣2017评分最高的动画片,3,春宵苦短，少女前进吧！,8.70,日本, ,汤浅政明 / 星野源 / 花泽香菜
179,豆瓣2017评分最高的动画片,4,伦敦一家人,8.90,英国, ,罗杰·梅因伍德 / 卢克·崔德威 / 吉姆·布劳德本特
180,豆瓣2017评分最高的动画片,5,欢乐好声音,8.10,美国, ,加斯·詹宁斯 / 马修·麦康纳 / 瑞茜·威瑟斯彭
181,豆瓣2017评分最高的动画片,6,西葫芦的生活,8.50,瑞士 法国, ,克洛德·巴拉斯 / 加斯帕德·施拉特 / 西斯汀·穆拉特
182,豆瓣2017评分最高的动画片,7,乐高蝙蝠侠大电影,8.00,美国 丹麦 澳大利亚, ,克里斯·麦凯 / 威尔·阿奈特 / 罗莎里奥·道森
183,豆瓣2017评分最高的动画片,8,宣告黎明的露之歌,8.10,日本, ,汤浅政明 / 谷花音 / 下田翔大
184,豆瓣2017评分最高的动画片,9,大护法,7.80,中国大陆, ,不思凡 / 小连杀 / 图特哈蒙
185,豆瓣2017评分最高的动画片,10,在这世界的角落,7.70,日本, ,片渊须直 / 能年玲奈 / 细谷佳正
186, , , , , , , 
187,豆瓣2017评分最高的纪录片,1,二十二,8.70,中国大陆, ,郭柯
188,豆瓣2017评分最高的纪录片,2,脸庞，村庄,9.10,法国, ,阿涅斯·瓦尔达 / 阿涅斯·瓦尔达 / 让·热内
189,豆瓣2017评分最高的纪录片,3,天梯：蔡国强的艺术,8.60,中国大陆 美国, ,凯文·麦克唐纳 / 蔡国强 / 吴红虹
190,豆瓣2017评分最高的纪录片,4,我们是X,9.20,日本 英国 美国, ,史蒂芬·卡嘉克 / 林佳树 / 出山利三
191,豆瓣2017评分最高的纪录片,5,嘎嘎：五尺二寸,8.80,美国, ,克里斯·穆卡贝尔 /  / 马克·容森
192,豆瓣2017评分最高的纪录片,6,爱猫之城,8.30,土耳其 美国, ,杰达·托伦 / 布朗特·乌斯塔曼 / 本古
193,豆瓣2017评分最高的纪录片,7,和食双神：最后的约定,8.60,日本, ,小野二郎 / 早乙女哲哉
194,豆瓣2017评分最高的纪录片,8,重返·狼群,8.30,中国大陆, ,亦风 / 李微漪
195,豆瓣2017评分最高的纪录片,9,地球：神奇的一天,8.10,中国大陆 英国, ,理查德·戴尔 / 成龙 / 罗伯特·雷德福
196,豆瓣2017评分最高的纪录片,10,摇摇晃晃的人间,7.90,中国大陆, ,范俭 / 余秀华 / 周金香
197, , , , , , , 
198,豆瓣2017评分最高的短片,1,校合唱团的秘密,8.80,匈牙利, ,克里斯托弗·迪克 / 索菲娅·绍莫希 / 多尔卡·海斯
199,豆瓣2017评分最高的短片,2,失物招领,8.50,美国, ,戴夫·穆林斯 / 杰克·布赖特
200,豆瓣2017评分最高的短片,3,银翼杀手：2022黑暗浩劫,8.40,美国 日本, ,渡边信一郎 / 乔万·杰克逊 / 露西·克里斯蒂安
201,豆瓣2017评分最高的短片,4,就这样，我们把金鱼放入了泳池,8.30,日本, ,长久允 / 汤川雏 / 松山莉奈
202,豆瓣2017评分最高的短片,5,心跳无限次,8.50,美国, ,Beth David / Nicholas J. Ainsworth / Kelly Donohue
