Title 电影,Director 导演,Rank 排名,Score 打分,Alias 别名,Year 年份,Region 地区,Genre 类型
[侧耳倾听](https://movie.douban.com/subject/1297052/),近藤喜文 Yoshifumi Kondo,🎉127,🌟8.9,耳をすませば / 心之谷(台)  /  梦幻街少女(港),1995,日本,剧情 爱情 动画
[幸福终点站](https://movie.douban.com/subject/1292274/),史蒂文·斯皮尔伯格 Steven Spielberg,🎉128,🌟8.8,The Terminal / 机场客运站(港)  /  航站情缘(台),2004,美国,喜剧 剧情 爱情
[未麻的部屋](https://movie.douban.com/subject/1395091/),今敏 Satoshi Kon,🎉129,🌟9.1,Perfect Blue / 蓝色恐惧(港 / 台),1997,日本,动画 奇幻 惊悚
[小森林 冬春篇](https://movie.douban.com/subject/25814707/),森淳一 Junichi Mori,🎉130,🌟9.0,リトル・フォレスト 冬・春 / 小森食光 / 冬春篇(台),2015,日本,剧情
[驯龙高手](https://movie.douban.com/subject/2353023/),迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,🎉131,🌟8.8,How to Train Your Dragon / 驯龙记(港),2010,美国,动画 奇幻 冒险
[哈利·波特与火焰杯](https://movie.douban.com/subject/1309055/),迈克·内威尔 Mike Newell,🎉132,🌟8.8,Harry Potter and the Goblet of Fire / 哈利波特4：火杯的考验(港 / 台),2005,英国 美国,悬疑 奇幻 冒险
[一个叫欧维的男人决定去死](https://movie.douban.com/subject/26628357/),汉内斯·赫尔姆 Hannes Holm,🎉133,🌟8.9,En man som heter Ove / 明天别再来敲门(台)  /  想死冇咁易(港),2015,瑞典,剧情
[教父3](https://movie.douban.com/subject/1294240/),弗朗西斯·福特·科波拉 Francis Ford Coppola,🎉134,🌟9.0,The Godfather: Part III / 教父第三集  /  教父 III,1990,美国,剧情 犯罪
[怪兽电力公司](https://movie.douban.com/subject/1291579/),彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,🎉135,🌟8.8,"Monsters, Inc. / 怪兽公司(港)  /  怪物公司",2001,美国,儿童 喜剧 动画 奇幻 冒险
[萤火之森](https://movie.douban.com/subject/5989818/),大森贵弘 Takahiro Omori,🎉136,🌟8.9,蛍火の杜へ / 萤火之社  /  Hotarubi no mori e,2011,日本,剧情 爱情 动画 奇幻
[傲慢与偏见](https://movie.douban.com/subject/1418200/),乔·怀特 Joe Wright,🎉137,🌟8.7,Pride & Prejudice / 傲慢与偏见2005  /  Pride And Prejudice,2005,法国 英国 美国,剧情 爱情
[玩具总动员3](https://movie.douban.com/subject/1858711/),李·昂克里奇 Lee Unkrich,🎉138,🌟8.9,Toy Story 3 / 反斗奇兵3(港)  /  玩具的故事3,2010,美国,喜剧 动画 奇幻 冒险
[新世界](https://movie.douban.com/subject/10437779/),朴勋政 Hoon-jung Park,🎉139,🌟8.9,신세계 / 暗黑新世界(台)  /  New World,2013,韩国,剧情 犯罪
[釜山行](https://movie.douban.com/subject/25986180/),延尚昊 Sang-ho Yeon,🎉140,🌟8.6,부산행 / 尸杀列车(港)  /  尸速列车(台),2016,韩国,动作 惊悚 灾难
[被解救的姜戈](https://movie.douban.com/subject/6307447/),昆汀·塔伦蒂诺 Quentin Tarantino,🎉141,🌟8.8,Django Unchained / 被解放的姜戈  /  决杀令(台),2012,美国,剧情 动作 西部 冒险
