Index,Tag,Eclipse-Series,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,豆瓣信息,IMDb电影,IMDb原名,IMDb年份,IMDb评分,IMDb信息
152,eclipse,Eclipse Series 32,#,[Eclipse Series 32: Pearls of the Czech New Wave](https://www.criterion.com/boxsets/870-eclipse-series-32-pearls-of-the-czech-new-wave), , , ,**Eclipse Series 32: Pearls of the Czech New Wave 捷克新浪潮遗珠**, , , ,Eclipse Series 32: Pearls of the Czech New Wave, , , , 
153,eclipse,Eclipse Series 32, ,Pearls of the Deep,"Jiří Menzel, Věra Chytilová, Jaromil Jireš, Jan Němec, and Evald Schorm",Czechoslovakia,1966.0,[底层的珍珠 Perličky na dně](https://movie.douban.com/subject/1437427/),1965,7.4,导演: 维拉·希蒂洛娃; 类型: 喜剧; 地区: 捷克斯洛伐克,[Pearls of the Deep](https://www.imdb.com/title/tt0059581/),Perlicky na dne,1965.0,6.5,"107 min | Comedy, Drama"
154,eclipse,Eclipse Series 32,Spine #1157,Daisies,Věra Chytilová,Czechoslovakia,1966.0,[雏菊 Sedmikrásky](https://movie.douban.com/subject/1296500/),1966,8.5,导演: 维拉·希蒂洛娃; 类型: 喜剧; 地区: 捷克斯洛伐克,[Daisies](https://www.imdb.com/title/tt0060959/),Sedmikrásky,1966.0,7.3,Not Rated | 75 min | Comedy
155,eclipse,Eclipse Series 32, ,A Report on the Party and Guests,Jan Němec,Czechoslovakia,1966.0,[一个都不能走 O slavnosti a hostech](https://movie.douban.com/subject/1306846/),1966,7.3,导演: 杨·涅梅茨; 类型: 剧情; 地区: 捷克斯洛伐克,[A Report on the Party and Guests](https://www.imdb.com/title/tt0063371/),O slavnosti a hostech,1966.0,7.1,"71 min | Comedy, Drama"
156,eclipse,Eclipse Series 32, ,Return of the Prodigal Son,Evald Schorm,Czechoslovakia,1967.0,[浪子回头 Návrat ztraceného syna](https://movie.douban.com/subject/1960254/),1967,6.9,导演: 埃瓦尔德·朔尔姆; 类型: 剧情; 地区: 捷克斯洛伐克,[Return of the Prodigal Son](https://www.imdb.com/title/tt0060770/),Návrat ztraceného syna,1967.0,6.5,103 min | Drama
157,eclipse,Eclipse Series 32, ,Capricious Summer,Jiří Menzel,Czechoslovakia,1968.0,[反复无常的夏天 Rozmarné léto](https://movie.douban.com/subject/1300884/),1968,7.6,导演: 伊日·门泽尔; 类型: 喜剧; 地区: 捷克斯洛伐克,[Capricious Summer](https://www.imdb.com/title/tt0063527/),Rozmarné léto,1968.0,6.9,Unrated | 74 min | Comedy
158,eclipse,Eclipse Series 32, ,The Joke,Jaromil Jireš,Czechoslovakia,1969.0,[玩笑 Žert](https://movie.douban.com/subject/1444538/),1969,7.7,导演: 亚罗米尔·伊雷什; 类型: 剧情; 地区: 捷克斯洛伐克,[The Joke](https://www.imdb.com/title/tt0065241/),Zert,1969.0,7.1,80 min | Drama
159,eclipse,Eclipse Series 33,#,[Eclipse Series 33: Up All Night with Robert Downey Sr.](https://www.criterion.com/boxsets/887-eclipse-series-33-up-all-night-with-robert-downey-sr), , , ,**Eclipse Series 33: Up All Night with Robert Downey Sr. 与老罗伯特·唐尼的不羁夜**, , , ,Eclipse Series 33: Up All Night with Robert Downey Sr., , , , 
160,eclipse,Eclipse Series 33, ,Babo 73,Robert Downey Sr.,United States,1964.0,[巴宝73 Babo 73](https://movie.douban.com/subject/10509763/),1964, ,导演: Robert Downey Sr; 类型: 喜剧; 地区: 美国,[Babo 73](https://www.imdb.com/title/tt0138311/), ,1964.0,5.3,57 min | Comedy
161,eclipse,Eclipse Series 33, ,Chafed Elbows,Robert Downey Sr.,United States,1966.0,[暴躁之肘 Chafed Elbows](https://movie.douban.com/subject/3189742/),1967, ,导演: Robert Downey Sr.; 类型: 喜剧; 地区: 美国,[Chafed Elbows](https://www.imdb.com/title/tt0138355/), ,1966.0,6.3,63 min | Comedy
162,eclipse,Eclipse Series 33, ,No More Excuses,Robert Downey Sr.,United States,1968.0,[没有借口 No More Excuses](https://movie.douban.com/subject/10509860/),1968, ,导演: 罗伯特·唐尼; 类型: 喜剧; 地区: 美国,[No More Excuses](https://www.imdb.com/title/tt0251300/), ,1968.0,6.2,62 min | Comedy
163,eclipse,Eclipse Series 33, ,Putney Swope,Robert Downey Sr.,United States,1969.0,[帕特尼·斯沃普 Putney Swope](https://movie.douban.com/subject/3021032/),1969, ,导演: 罗伯特·唐尼; 类型: 喜剧; 地区: 美国,[Putney Swope](https://www.imdb.com/title/tt0064855/), ,1969.0,6.8,R | 84 min | Comedy
164,eclipse,Eclipse Series 33, ,Two Tons of Turquoise to Taos Tonight,Robert Downey Sr.,United States,1975.0,[时时刻刻 Moment to Moment](https://movie.douban.com/subject/5224825/),1975, ,导演: 罗伯特·唐尼; 类型: 喜剧; 地区: 美国,[Two Tons of Turquoise to Taos Tonight](https://www.imdb.com/title/tt0427550/),Moment to Moment,1975.0,5.6,85 min | Comedy
165,eclipse,Eclipse Series 34,#,[Eclipse Series 34: Jean Grémillon During the Occupation](https://www.criterion.com/boxsets/897-eclipse-series-34-jean-grmillon-during-the-occupation), , , ,**Eclipse Series 34: Jean Grémillon During the Occupation 抵抗运动中的让·格莱米永**, , , ,Eclipse Series 34: Jean Grémillon During the Occupation, , , , 
166,eclipse,Eclipse Series 34, ,Remorques,Jean Grémillon,France,1941.0,[拖船 Remorques](https://movie.douban.com/subject/2568105/),1941,7.0,导演: 让·格莱米永; 类型: 动作; 地区: 法国,[Remorques](https://www.imdb.com/title/tt0034093/), ,1941.0,7.2,"91 min | Action, Drama, Romance"
167,eclipse,Eclipse Series 34, ,Lumière d’été,Jean Grémillon,France,1943.0,[夏日时光 Lumière d'été](https://movie.douban.com/subject/2251005/),1943,7.2,导演: 让·格莱米永; 类型: 剧情; 地区: 法国,[Lumière d'été](https://www.imdb.com/title/tt0035001/), ,1943.0,6.9,112 min | Drama
168,eclipse,Eclipse Series 34, ,Le ciel est à vous,Jean Grémillon,France,1944.0,[天空属于你们 Le ciel est à vous](https://movie.douban.com/subject/2251012/),1944,7.0,导演: 让·格莱米永; 类型: 剧情; 地区: 法国,[The Woman Who Dared](https://www.imdb.com/title/tt0035737/),Le ciel est à vous,1944.0,7.2,105 min | Drama
169,eclipse,Eclipse Series 35,#,[Eclipse Series 35: Maidstone and Other Films by Norman Mailer](https://www.criterion.com/boxsets/907-eclipse-series-35-i-maidstone-i-and-other-films-by-norman-mailer), , , ,**Eclipse Series 35: Maidstone and Other Films by Norman Mailer 诺曼·梅勒电影作品集**, , , ,Eclipse Series 35: Maidstone and Other Films by Norman Mailer, , , , 
170,eclipse,Eclipse Series 35, ,Maidstone,Norman Mailer,United States,1970.0,[梅德斯通 Maidstone](https://movie.douban.com/subject/4730371/),1970, ,导演: 诺曼·梅勒; 类型: 剧情; 地区: 美国,[Maidstone](https://www.imdb.com/title/tt0064625/), ,1970.0,4.7,110 min | Drama
