index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
24,![20495023](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg),25,[寻梦环游记](https://movie.douban.com/subject/20495023/),李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,🌟9.10,2017,美国,喜剧 动画 奇幻 音乐,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina / ...
25,![1293172](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg),26,[末代皇帝](https://movie.douban.com/subject/1293172/),贝纳尔多·贝托鲁奇 Bernardo Bertolucci,🌟9.30,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,贝纳尔多·贝托鲁奇 Bernardo Bertolucci / 尊龙 John Lone / 陈...
26,![1291560](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg),27,[龙猫](https://movie.douban.com/subject/1291560/),宫崎骏 Hayao Miyazaki,🌟9.20,1988,日本,动画 奇幻 冒险,宫崎骏 Hayao Miyazaki / 日高法子 Noriko Hidaka / 坂本千夏 Ch...
27,![3319755](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg),28,[怦然心动](https://movie.douban.com/subject/3319755/),罗伯·莱纳 Rob Reiner,🌟9.10,2010,美国,剧情 喜剧 爱情,罗伯·莱纳 Rob Reiner / 玛德琳·卡罗尔 Madeline Carroll / 卡...
28,![1292365](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg),29,[活着](https://movie.douban.com/subject/1292365/),张艺谋 Yimou Zhang,🌟9.30,1994,中国大陆 中国香港,剧情 历史 家庭,张艺谋 Yimou Zhang / 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
29,![1295038](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg),30,[哈利·波特与魔法石](https://movie.douban.com/subject/1295038/),Chris Columbus,🌟9.20,2001,美国 英国,奇幻 冒险,Chris Columbus / Daniel Radcliffe / Emma Watson / Rupert Grint
30,![1851857](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg),31,[蝙蝠侠：黑暗骑士](https://movie.douban.com/subject/1851857/),克里斯托弗·诺兰 Christopher Nolan,🌟9.20,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,克里斯托弗·诺兰 Christopher Nolan / 克里斯蒂安·贝尔 Christ...
31,![1291552](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg),32,[指环王3：王者无敌](https://movie.douban.com/subject/1291552/),彼得·杰克逊 Peter Jackson,🌟9.30,2003,美国 新西兰,剧情 动作 奇幻 冒险,彼得·杰克逊 Peter Jackson / 伊利亚·伍德 Elijah Wood / 西恩...
32,![26752088](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg),33,[我不是药神](https://movie.douban.com/subject/26752088/),文牧野 Muye Wen,🌟9.00,2018,中国大陆,剧情 喜剧,文牧野 Muye Wen / 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...
33,![1300267](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg),34,[乱世佳人](https://movie.douban.com/subject/1300267/),维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,🌟9.30,1939,美国,剧情 历史 爱情 战争,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor / 费...
34,![2129039](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.jpg),35,[飞屋环游记](https://movie.douban.com/subject/2129039/),彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,🌟9.10,2009,美国,剧情 喜剧 动画 冒险,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson / 爱德...
35,![21937452](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg),36,[素媛](https://movie.douban.com/subject/21937452/),李濬益 Jun-ik Lee,🌟9.30,2013,韩国,剧情,李濬益 Jun-ik Lee / 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
36,![1293182](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg),37,[十二怒汉](https://movie.douban.com/subject/1293182/),Sidney Lumet,🌟9.40,1957,美国,剧情,Sidney Lumet / 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
