index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
71,![10494](https://media.themoviedb.org/t/p/w220_and_h330_face/6WTiOCfDPP8XV4jqfloiVWf7KHq.jpg),72,[Perfect Blue](https://www.themoviedb.org/movie/10494), ,🌟83.00,1998, , , 
72,![3082](https://media.themoviedb.org/t/p/w220_and_h330_face/9baQjJ85LKQZFFpNWR563SsK2rz.jpg),73,[Modern Times](https://www.themoviedb.org/movie/3082), ,🌟83.00,1936, , , 
73,![995133](https://media.themoviedb.org/t/p/w220_and_h330_face/oQRgyQCzcyZvE6w5heM9ktVY0LT.jpg),74,"[The Boy, the Mole, the Fox and the Horse](https://www.themoviedb.org/movie/995133)", ,🌟83.00,2022, , , 
74,![335](https://media.themoviedb.org/t/p/w220_and_h330_face/qbYgqOczabWNn2XKwgMtVrntD6P.jpg),75,[Once Upon a Time in the West](https://www.themoviedb.org/movie/335), ,🌟83.00,1968, , , 
75,![901](https://media.themoviedb.org/t/p/w220_and_h330_face/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg),76,[City Lights](https://www.themoviedb.org/movie/901), ,🌟83.00,1931, , , 
76,![28](https://media.themoviedb.org/t/p/w220_and_h330_face/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg),77,[Apocalypse Now](https://www.themoviedb.org/movie/28), ,🌟82.83,1979, , , 
77,![652837](https://media.themoviedb.org/t/p/w220_and_h330_face/xAbSLi61npWyVs5M0yxin3dKcGO.jpg),78,"[Josee, the Tiger and the Fish](https://www.themoviedb.org/movie/652837)", ,🌟83.00,2020, , , 
78,![29259](https://media.themoviedb.org/t/p/w220_and_h330_face/8kxtOm7D992iAaOzUoWmNQwbXjs.jpg),79,[Le Trou](https://www.themoviedb.org/movie/29259), ,🌟83.00,1960, , , 
79,![77338](https://media.themoviedb.org/t/p/w220_and_h330_face/1QU7HKgsQbGpzsJbJK4pAVQV9F5.jpg),80,[The Intouchables](https://www.themoviedb.org/movie/77338), ,🌟82.80,2011, , , 
80,![16672](https://media.themoviedb.org/t/p/w220_and_h330_face/f0JpsMQ9oEjKBD66Ky3qK3z7LGT.jpg),81,[Woman in the Dunes](https://www.themoviedb.org/movie/16672), ,🌟83.00,1964, , , 
